time_s,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,peak_front,proximity_active,hazard_region,turn_direction,camera_state,left_speed,right_speed,reason
0.032,63.662,69.729,63.765,68.318,61.334,66.769,71.486,69.984,71.486,0,clear,1,FOLLOW_LANE,4.665629,4.534371,camera command; proximity clear
0.064,67.792,68.715,71.729,70.273,65.123,70.236,69.968,67.068,69.968,0,clear,1,FOLLOW_LANE,4.846895,4.353105,camera command; proximity clear
0.096,69.651,66.597,62.721,66.817,67.915,69.746,65.802,65.048,69.651,0,clear,1,FOLLOW_LANE,4.635963,4.564036,camera command; proximity clear
0.128,62.823,67.042,64.972,67.429,64.479,63.387,68.080,70.805,70.805,0,clear,1,FOLLOW_LANE,4.576588,4.623411,camera command; proximity clear
0.160,72.760,68.853,63.731,66.481,66.533,64.206,74.828,64.941,74.828,0,clear,1,FOLLOW_LANE,4.665655,4.534345,camera command; proximity clear
0.192,66.838,60.778,57.399,68.630,58.895,69.270,71.098,59.887,71.098,0,clear,1,FOLLOW_LANE,4.682848,4.517151,camera command; proximity clear
0.224,67.056,72.758,71.894,65.890,61.553,67.641,67.553,64.992,72.758,0,clear,1,FOLLOW_LANE,4.576598,4.623401,camera command; proximity clear
0.256,71.162,66.827,67.127,66.326,65.574,54.668,64.851,72.535,72.535,0,clear,1,FOLLOW_LANE,4.600036,4.599964,camera command; proximity clear
0.288,70.143,69.067,61.354,69.833,65.334,64.642,71.601,68.788,71.601,0,clear,1,FOLLOW_LANE,4.600036,4.599964,camera command; proximity clear
0.320,63.284,63.423,74.120,68.457,66.615,70.782,68.146,63.746,68.146,0,clear,1,FOLLOW_LANE,4.600036,4.599964,camera command; proximity clear
0.352,68.098,69.419,69.680,65.876,73.487,65.622,66.452,66.564,69.419,0,clear,1,FOLLOW_LANE,4.600036,4.599964,camera command; proximity clear
0.384,68.155,66.610,60.339,64.816,67.735,66.996,67.113,73.454,73.454,0,clear,1,FOLLOW_LANE,4.600036,4.599964,camera command; proximity clear
0.416,66.619,68.679,62.182,61.460,67.879,72.358,67.578,68.489,68.679,0,clear,1,FOLLOW_LANE,4.665665,4.534335,camera command; proximity clear
0.448,69.809,65.166,66.024,71.237,65.371,70.967,70.734,69.763,70.734,0,clear,1,FOLLOW_LANE,4.682859,4.517141,camera command; proximity clear
0.480,67.510,67.673,69.295,62.069,66.307,68.284,71.320,65.362,71.320,0,clear,1,FOLLOW_LANE,4.576608,4.623391,camera command; proximity clear
0.512,72.056,73.657,67.125,63.063,63.235,62.728,67.629,63.584,73.657,0,clear,1,FOLLOW_LANE,4.600046,4.599954,camera command; proximity clear
0.544,61.210,66.108,69.334,67.376,65.987,69.812,70.838,67.347,70.838,0,clear,1,FOLLOW_LANE,4.600046,4.599954,camera command; proximity clear
0.576,62.100,67.029,63.979,62.777,67.213,69.308,67.904,67.006,67.904,0,clear,1,FOLLOW_LANE,4.665675,4.534325,camera command; proximity clear
0.608,67.686,68.846,67.936,68.933,60.304,66.030,66.109,64.656,68.846,0,clear,1,FOLLOW_LANE,4.584425,4.615575,camera command; proximity clear
0.640,63.675,66.653,65.771,69.244,65.756,69.959,66.860,70.418,70.418,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
0.672,67.986,72.493,62.879,62.224,69.927,57.993,64.403,65.157,72.493,0,clear,1,FOLLOW_LANE,4.665679,4.534321,camera command; proximity clear
0.704,67.522,63.622,68.002,67.167,66.719,66.481,65.900,68.806,68.806,0,clear,1,FOLLOW_LANE,4.584429,4.615571,camera command; proximity clear
0.736,63.595,70.764,62.485,67.762,65.906,70.073,66.857,71.372,71.372,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.768,70.303,68.110,72.245,68.835,67.592,63.788,63.190,59.780,70.303,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.800,61.140,71.627,66.468,73.180,66.329,64.542,71.641,67.007,71.641,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.832,61.605,66.830,70.115,64.931,64.935,69.849,67.280,71.001,71.001,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.864,71.002,66.975,69.049,66.133,65.181,68.786,64.518,64.194,71.002,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.896,66.049,69.520,64.085,67.379,66.587,64.002,68.435,61.029,69.520,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.928,68.194,62.739,64.706,64.826,66.596,69.330,72.365,77.661,77.661,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.960,67.390,69.146,68.031,73.282,66.297,75.060,72.142,71.830,72.142,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
0.992,70.059,68.459,68.106,69.474,64.817,65.849,67.634,67.687,70.059,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.024,68.266,63.977,64.980,69.804,68.533,60.444,65.410,71.620,71.620,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.056,61.083,64.816,68.835,67.671,70.514,70.533,71.233,62.704,71.233,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.088,67.843,64.962,66.535,65.634,66.259,65.147,67.488,70.896,70.896,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.120,66.705,69.579,68.457,69.182,72.072,63.887,70.212,68.107,70.212,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.152,63.930,67.546,65.589,70.751,65.115,57.557,71.669,72.795,72.795,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.184,68.884,67.968,59.918,70.444,67.742,61.936,71.867,62.977,71.867,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.216,64.865,64.379,73.338,66.577,71.629,62.838,69.731,68.418,69.731,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.248,69.434,64.220,62.059,65.252,67.809,75.589,68.682,67.714,69.434,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.280,67.131,69.090,64.698,62.681,69.468,62.995,75.482,67.768,75.482,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.312,60.622,66.947,59.569,69.195,62.027,76.039,69.949,61.118,69.949,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.344,64.772,65.540,69.661,72.694,66.171,64.483,69.992,66.512,69.992,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.376,70.291,68.809,69.933,67.348,67.287,69.736,67.058,68.580,70.291,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.408,65.151,66.653,66.789,67.944,62.092,69.940,70.270,70.821,70.821,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.440,68.345,68.663,58.754,63.263,65.327,56.090,70.216,67.052,70.216,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.472,68.634,66.802,67.799,67.247,67.176,66.708,71.657,66.734,71.657,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.504,65.137,68.090,67.189,62.233,69.189,66.591,63.703,64.694,68.090,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.536,62.490,67.820,69.412,69.816,67.184,63.900,70.817,66.947,70.817,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.568,65.994,60.024,64.689,70.960,69.348,68.810,72.848,70.223,72.848,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.600,67.610,68.886,76.029,65.343,64.835,64.033,67.938,66.006,68.886,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.632,71.374,70.461,64.842,68.310,72.375,69.040,73.196,65.079,73.196,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.664,61.154,70.029,67.078,70.571,68.867,71.641,71.138,63.082,71.138,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.696,70.206,69.222,61.745,56.296,67.022,70.656,75.246,67.109,75.246,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.728,69.137,67.939,67.889,63.568,65.904,68.118,64.427,71.515,71.515,0,clear,1,FOLLOW_LANE,4.600054,4.599946,camera command; proximity clear
1.760,60.905,62.425,64.310,66.079,69.541,63.224,67.878,67.036,67.878,0,clear,1,FOLLOW_LANE,4.534425,4.665575,camera command; proximity clear
1.792,72.453,63.654,69.885,70.082,70.581,67.113,71.313,62.885,72.453,0,clear,1,FOLLOW_LANE,4.615675,4.584325,camera command; proximity clear
1.824,68.736,70.759,63.955,80.231,66.264,66.324,67.711,65.573,70.759,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
1.856,60.291,65.243,66.925,69.602,66.797,66.318,65.732,66.631,66.631,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
1.888,75.428,70.948,62.294,69.029,71.593,72.419,70.564,71.961,75.428,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
1.920,60.269,64.941,68.205,65.529,64.645,65.988,66.016,71.337,71.337,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
1.952,61.886,66.830,66.738,65.000,68.358,67.773,66.424,74.617,74.617,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
1.984,70.766,61.351,66.753,72.984,70.876,72.271,73.213,72.236,73.213,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.016,60.781,61.834,73.228,64.867,65.078,62.366,65.118,69.710,69.710,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.048,67.380,65.396,67.359,66.489,66.949,65.393,60.769,60.854,67.380,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.080,66.703,69.028,70.145,72.254,68.891,68.216,69.367,69.964,69.964,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.112,67.838,71.772,66.079,61.674,69.812,69.198,70.932,68.180,71.772,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.144,70.508,68.971,71.641,66.697,68.181,63.602,66.528,75.631,75.631,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.176,66.086,65.962,69.948,69.443,64.829,64.244,68.074,66.799,68.074,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.208,66.724,70.440,71.959,68.497,65.135,67.956,70.631,70.027,70.631,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.240,63.346,67.994,62.424,69.601,61.296,65.789,63.584,74.718,74.718,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.272,60.363,68.278,65.434,66.089,68.733,70.677,66.469,69.104,69.104,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.304,68.361,66.308,72.621,67.476,65.692,70.656,58.092,71.530,71.530,0,clear,1,FOLLOW_LANE,4.600050,4.599950,camera command; proximity clear
2.336,68.726,73.347,71.497,67.106,62.846,68.474,61.837,62.581,73.347,0,clear,1,FOLLOW_LANE,4.534421,4.665579,camera command; proximity clear
2.368,68.561,58.560,65.859,64.541,73.115,67.155,64.595,71.312,71.312,0,clear,1,FOLLOW_LANE,4.550042,4.649958,camera command; proximity clear
2.400,65.261,65.910,63.227,67.351,71.247,68.138,72.639,68.439,72.639,0,clear,1,FOLLOW_LANE,4.550038,4.649962,camera command; proximity clear
2.432,64.810,70.978,64.493,68.199,68.094,69.906,61.216,64.711,70.978,0,clear,1,FOLLOW_LANE,4.615663,4.584337,camera command; proximity clear
2.464,69.039,64.438,63.052,66.694,68.327,67.516,66.780,65.309,69.039,0,clear,1,FOLLOW_LANE,4.600038,4.599962,camera command; proximity clear
2.496,67.772,64.191,69.209,67.157,65.762,64.129,67.623,66.163,67.772,0,clear,1,FOLLOW_LANE,4.600038,4.599962,camera command; proximity clear
2.528,65.482,67.129,64.425,64.742,66.087,70.921,66.417,70.791,70.791,0,clear,1,FOLLOW_LANE,4.600038,4.599962,camera command; proximity clear
2.560,70.599,71.693,66.889,69.150,67.102,72.152,62.531,65.601,71.693,0,clear,1,FOLLOW_LANE,4.534409,4.665591,camera command; proximity clear
2.592,64.230,60.945,67.529,64.873,64.017,63.302,68.951,71.118,71.118,0,clear,1,FOLLOW_LANE,4.615659,4.584341,camera command; proximity clear
2.624,59.833,65.216,68.660,65.673,66.473,67.251,66.074,69.137,69.137,0,clear,1,FOLLOW_LANE,4.600034,4.599966,camera command; proximity clear
2.656,65.776,67.626,71.745,66.503,68.813,70.096,68.682,71.926,71.926,0,clear,1,FOLLOW_LANE,4.600034,4.599966,camera command; proximity clear
2.688,69.291,67.826,61.106,70.528,61.788,74.525,66.115,70.304,70.304,0,clear,1,FOLLOW_LANE,4.600034,4.599966,camera command; proximity clear
