run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished,obstacle_layout,static_obstacle_count,moving_obstacle_count
static_right_r07_s10007,0.032,-0.460000,-0.450000,0.000000,0,0.581378,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.064,-0.457063,-0.450001,0.000001,0,0.578447,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.096,-0.454151,-0.450022,0.000022,0,0.575541,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.128,-0.451207,-0.450073,0.000073,0,0.572600,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.160,-0.448263,-0.450132,0.000132,0,0.569660,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.192,-0.445320,-0.450191,0.000191,0,0.566720,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.224,-0.442377,-0.450248,0.000248,0,0.563780,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.256,-0.439434,-0.450304,0.000304,0,0.560840,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.288,-0.436495,-0.450365,0.000365,0,0.557905,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.320,-0.433552,-0.450432,0.000432,0,0.554965,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.352,-0.430609,-0.450504,0.000504,0,0.552024,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.384,-0.427666,-0.450579,0.000579,0,0.549083,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.416,-0.424723,-0.450652,0.000652,0,0.546143,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.448,-0.421780,-0.450725,0.000725,0,0.543202,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.480,-0.418837,-0.450797,0.000797,0,0.540261,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.512,-0.415894,-0.450874,0.000874,0,0.537321,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.544,-0.412951,-0.450949,0.000949,0,0.534380,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.576,-0.410008,-0.451030,0.001030,0,0.531439,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.608,-0.407066,-0.451115,0.001115,0,0.528498,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.640,-0.404123,-0.451204,0.001204,0,0.525557,99.000000,0,0,0,0,single,1,0
static_right_r07_s10007,0.672,-0.401181,-0.451296,0.001296,0,0.522616,99.000000,0,0,0,0,single,1,0
