run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
static_right_r10_s10010,0.032,-0.460000,-0.450000,0.000000,0,0.581378,14.785604,0,0,0,0
static_right_r10_s10010,0.064,-0.457063,-0.450001,0.000001,0,0.578447,14.783527,0,0,0,0
static_right_r10_s10010,0.096,-0.454151,-0.450022,0.000022,0,0.575541,14.781483,0,0,0,0
static_right_r10_s10010,0.128,-0.451207,-0.450073,0.000073,0,0.572600,14.779437,0,0,0,0
static_right_r10_s10010,0.160,-0.448263,-0.450132,0.000132,0,0.569660,14.777397,0,0,0,0
static_right_r10_s10010,0.192,-0.445320,-0.450191,0.000191,0,0.566720,14.775358,0,0,0,0
static_right_r10_s10010,0.224,-0.442377,-0.450248,0.000248,0,0.563780,14.773318,0,0,0,0
static_right_r10_s10010,0.256,-0.439434,-0.450304,0.000304,0,0.560840,14.771277,0,0,0,0
static_right_r10_s10010,0.288,-0.436495,-0.450365,0.000365,0,0.557905,14.769244,0,0,0,0
static_right_r10_s10010,0.320,-0.433552,-0.450432,0.000432,0,0.554965,14.767211,0,0,0,0
static_right_r10_s10010,0.352,-0.430609,-0.450504,0.000504,0,0.552024,14.765184,0,0,0,0
static_right_r10_s10010,0.384,-0.427666,-0.450579,0.000579,0,0.549083,14.763158,0,0,0,0
static_right_r10_s10010,0.416,-0.424723,-0.450652,0.000652,0,0.546143,14.761131,0,0,0,0
static_right_r10_s10010,0.448,-0.421780,-0.450725,0.000725,0,0.543202,14.759104,0,0,0,0
static_right_r10_s10010,0.480,-0.418837,-0.450797,0.000797,0,0.540261,14.757077,0,0,0,0
static_right_r10_s10010,0.512,-0.415894,-0.450874,0.000874,0,0.537321,14.755054,0,0,0,0
static_right_r10_s10010,0.544,-0.412951,-0.450949,0.000949,0,0.534380,14.753030,0,0,0,0
static_right_r10_s10010,0.576,-0.410008,-0.451030,0.001030,0,0.531439,14.751010,0,0,0,0
static_right_r10_s10010,0.608,-0.407066,-0.451115,0.001115,0,0.528498,14.748994,0,0,0,0
static_right_r10_s10010,0.640,-0.404123,-0.451204,0.001204,0,0.525557,14.746981,0,0,0,0
static_right_r10_s10010,0.672,-0.401181,-0.451296,0.001296,0,0.522616,14.744970,0,0,0,0
static_right_r10_s10010,0.704,-0.398238,-0.451392,0.001392,0,0.519674,14.742962,0,0,0,0
static_right_r10_s10010,0.736,-0.395296,-0.451491,0.001491,0,0.516733,14.740958,0,0,0,0
static_right_r10_s10010,0.768,-0.392353,-0.451593,0.001593,0,0.513791,14.738955,0,0,0,0
static_right_r10_s10010,0.800,-0.389411,-0.451694,0.001694,0,0.510849,14.736952,0,0,0,0
static_right_r10_s10010,0.832,-0.386469,-0.451794,0.001794,0,0.507908,14.734950,0,0,0,0
static_right_r10_s10010,0.864,-0.383527,-0.451895,0.001895,0,0.504966,14.732947,0,0,0,0
static_right_r10_s10010,0.896,-0.380584,-0.451995,0.001995,0,0.502025,14.730945,0,0,0,0
static_right_r10_s10010,0.928,-0.377642,-0.452095,0.002095,0,0.499084,14.728942,0,0,0,0
static_right_r10_s10010,0.960,-0.374700,-0.452195,0.002195,0,0.496142,14.726940,0,0,0,0
static_right_r10_s10010,0.992,-0.371757,-0.452295,0.002295,0,0.493201,14.724939,0,0,0,0
static_right_r10_s10010,1.024,-0.368815,-0.452394,0.002394,0,0.490260,14.722937,0,0,0,0
static_right_r10_s10010,1.056,-0.365873,-0.452499,0.002499,0,0.487318,14.720939,0,0,0,0
static_right_r10_s10010,1.088,-0.362931,-0.452602,0.002602,0,0.484377,14.718941,0,0,0,0
static_right_r10_s10010,1.120,-0.359989,-0.452710,0.002710,0,0.481435,14.716947,0,0,0,0
static_right_r10_s10010,1.152,-0.357047,-0.452822,0.002822,0,0.478493,14.714955,0,0,0,0
static_right_r10_s10010,1.184,-0.354105,-0.452937,0.002937,0,0.475552,14.712967,0,0,0,0
static_right_r10_s10010,1.216,-0.351164,-0.453056,0.003056,0,0.472610,14.710981,0,0,0,0
static_right_r10_s10010,1.248,-0.348222,-0.453180,0.003180,0,0.469668,14.709000,0,0,0,0
static_right_r10_s10010,1.280,-0.345281,-0.453310,0.003310,0,0.466725,14.707023,0,0,0,0
static_right_r10_s10010,1.312,-0.342340,-0.453445,0.003445,0,0.463783,14.705050,0,0,0,0
static_right_r10_s10010,1.344,-0.339399,-0.453585,0.003585,0,0.460840,14.703082,0,0,0,0
static_right_r10_s10010,1.376,-0.336459,-0.453728,0.003728,0,0.457898,14.701116,0,0,0,0
static_right_r10_s10010,1.408,-0.333518,-0.453876,0.003876,0,0.454955,14.699154,0,0,0,0
static_right_r10_s10010,1.440,-0.330578,-0.454028,0.004028,0,0.452012,14.697196,0,0,0,0
static_right_r10_s10010,1.472,-0.327638,-0.454183,0.004183,0,0.449069,14.695240,0,0,0,0
static_right_r10_s10010,1.504,-0.324699,-0.454342,0.004342,0,0.446126,14.693286,0,0,0,0
static_right_r10_s10010,1.536,-0.321759,-0.454503,0.004503,0,0.443183,14.691336,0,0,0,0
static_right_r10_s10010,1.568,-0.318820,-0.454664,0.004664,0,0.440240,14.689385,0,0,0,0
static_right_r10_s10010,1.600,-0.315880,-0.454823,0.004823,0,0.437297,14.687434,0,0,0,0
static_right_r10_s10010,1.632,-0.312940,-0.454983,0.004983,0,0.434354,14.685483,0,0,0,0
static_right_r10_s10010,1.664,-0.310001,-0.455142,0.005142,0,0.431411,14.683532,0,0,0,0
static_right_r10_s10010,1.696,-0.307061,-0.455301,0.005301,0,0.428468,14.681581,0,0,0,0
static_right_r10_s10010,1.728,-0.304121,-0.455460,0.005460,0,0.425525,14.679631,0,0,0,0
static_right_r10_s10010,1.760,-0.301182,-0.455619,0.005619,0,0.422582,14.677681,0,0,0,0
static_right_r10_s10010,1.792,-0.298242,-0.455778,0.005778,0,0.419640,14.675731,0,0,0,0
static_right_r10_s10010,1.824,-0.295302,-0.455937,0.005937,0,0.416697,14.673781,0,0,0,0
static_right_r10_s10010,1.856,-0.292362,-0.456095,0.006095,0,0.413754,14.671832,0,0,0,0
static_right_r10_s10010,1.888,-0.289423,-0.456259,0.006259,0,0.410811,14.669887,0,0,0,0
static_right_r10_s10010,1.920,-0.286484,-0.456428,0.006428,0,0.407868,14.667946,0,0,0,0
static_right_r10_s10010,1.952,-0.283545,-0.456606,0.006606,0,0.404924,14.666012,0,0,0,0
