run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
static_left_r06_s10006,0.032,-0.460000,-0.450000,0.000000,0,0.592284,14.785604,0,0,0,0
static_left_r06_s10006,0.064,-0.457069,-0.449998,0.000002,0,0.589413,14.783529,0,0,0,0
static_left_r06_s10006,0.096,-0.454141,-0.449975,0.000025,0,0.586543,14.781443,0,0,0,0
static_left_r06_s10006,0.128,-0.451197,-0.449935,0.000065,0,0.583653,14.779332,0,0,0,0
static_left_r06_s10006,0.160,-0.448254,-0.449877,0.000123,0,0.580760,14.777210,0,0,0,0
static_left_r06_s10006,0.192,-0.445310,-0.449813,0.000187,0,0.577867,14.775084,0,0,0,0
static_left_r06_s10006,0.224,-0.442367,-0.449741,0.000259,0,0.574974,14.772952,0,0,0,0
static_left_r06_s10006,0.256,-0.439424,-0.449667,0.000333,0,0.572080,14.770819,0,0,0,0
static_left_r06_s10006,0.288,-0.436481,-0.449585,0.000415,0,0.569185,14.768681,0,0,0,0
static_left_r06_s10006,0.320,-0.433538,-0.449496,0.000504,0,0.566290,14.766540,0,0,0,0
static_left_r06_s10006,0.352,-0.430596,-0.449401,0.000599,0,0.563394,14.764393,0,0,0,0
static_left_r06_s10006,0.384,-0.427654,-0.449300,0.000700,0,0.560497,14.762243,0,0,0,0
static_left_r06_s10006,0.416,-0.424712,-0.449192,0.000808,0,0.557600,14.760089,0,0,0,0
static_left_r06_s10006,0.448,-0.421770,-0.449077,0.000923,0,0.554702,14.757930,0,0,0,0
static_left_r06_s10006,0.480,-0.418829,-0.448956,0.001044,0,0.551803,14.755767,0,0,0,0
static_left_r06_s10006,0.512,-0.415887,-0.448828,0.001172,0,0.548904,14.753600,0,0,0,0
static_left_r06_s10006,0.544,-0.412946,-0.448694,0.001306,0,0.546004,14.751429,0,0,0,0
static_left_r06_s10006,0.576,-0.410006,-0.448553,0.001447,0,0.543103,14.749254,0,0,0,0
static_left_r06_s10006,0.608,-0.407066,-0.448405,0.001595,0,0.540202,14.747074,0,0,0,0
static_left_r06_s10006,0.640,-0.404126,-0.448249,0.001751,0,0.537299,14.744889,0,0,0,0
static_left_r06_s10006,0.672,-0.401186,-0.448087,0.001913,0,0.534396,14.742699,0,0,0,0
static_left_r06_s10006,0.704,-0.398247,-0.447917,0.002083,0,0.531493,14.740506,0,0,0,0
static_left_r06_s10006,0.736,-0.395308,-0.447742,0.002258,0,0.528588,14.738309,0,0,0,0
static_left_r06_s10006,0.768,-0.392370,-0.447560,0.002440,0,0.525683,14.736107,0,0,0,0
static_left_r06_s10006,0.800,-0.389432,-0.447371,0.002629,0,0.522778,14.733901,0,0,0,0
static_left_r06_s10006,0.832,-0.386494,-0.447175,0.002825,0,0.519872,14.731692,0,0,0,0
static_left_r06_s10006,0.864,-0.383557,-0.446973,0.003027,0,0.516965,14.729478,0,0,0,0
static_left_r06_s10006,0.896,-0.380621,-0.446765,0.003235,0,0.514057,14.727260,0,0,0,0
static_left_r06_s10006,0.928,-0.377684,-0.446549,0.003451,0,0.511149,14.725038,0,0,0,0
