run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
static_right_r10_s10010,0.032,-0.460000,-0.450000,0.000000,0,0.592284,14.785604,0,0,0,0
static_right_r10_s10010,0.064,-0.457065,-0.450001,0.000001,0,0.589409,14.783529,0,0,0,0
static_right_r10_s10010,0.096,-0.454159,-0.450027,0.000027,0,0.586559,14.781492,0,0,0,0
static_right_r10_s10010,0.128,-0.451214,-0.450089,0.000089,0,0.583664,14.779453,0,0,0,0
static_right_r10_s10010,0.160,-0.448270,-0.450163,0.000163,0,0.580769,14.777424,0,0,0,0
static_right_r10_s10010,0.192,-0.445328,-0.450238,0.000238,0,0.577874,14.775396,0,0,0,0
static_right_r10_s10010,0.224,-0.442385,-0.450309,0.000309,0,0.574981,14.773367,0,0,0,0
static_right_r10_s10010,0.256,-0.439442,-0.450380,0.000380,0,0.572087,14.771337,0,0,0,0
static_right_r10_s10010,0.288,-0.436499,-0.450458,0.000458,0,0.569194,14.769312,0,0,0,0
static_right_r10_s10010,0.320,-0.433556,-0.450548,0.000548,0,0.566298,14.767296,0,0,0,0
static_right_r10_s10010,0.352,-0.430614,-0.450644,0.000644,0,0.563402,14.765286,0,0,0,0
static_right_r10_s10010,0.384,-0.427672,-0.450745,0.000745,0,0.560506,14.763279,0,0,0,0
static_right_r10_s10010,0.416,-0.424730,-0.450843,0.000843,0,0.557610,14.761270,0,0,0,0
static_right_r10_s10010,0.448,-0.421788,-0.450947,0.000947,0,0.554714,14.759267,0,0,0,0
static_right_r10_s10010,0.480,-0.418846,-0.451054,0.001054,0,0.551818,14.757265,0,0,0,0
static_right_r10_s10010,0.512,-0.415904,-0.451169,0.001169,0,0.548921,14.755270,0,0,0,0
static_right_r10_s10010,0.544,-0.412963,-0.451288,0.001288,0,0.546023,14.753278,0,0,0,0
static_right_r10_s10010,0.576,-0.410021,-0.451417,0.001417,0,0.543125,14.751294,0,0,0,0
static_right_r10_s10010,0.608,-0.407081,-0.451555,0.001555,0,0.540225,14.749316,0,0,0,0
static_right_r10_s10010,0.640,-0.404140,-0.451701,0.001701,0,0.537324,14.747345,0,0,0,0
static_right_r10_s10010,0.672,-0.401200,-0.451854,0.001854,0,0.534423,14.745379,0,0,0,0
static_right_r10_s10010,0.704,-0.398260,-0.452013,0.002013,0,0.531521,14.743418,0,0,0,0
static_right_r10_s10010,0.736,-0.395321,-0.452178,0.002178,0,0.528619,14.741463,0,0,0,0
static_right_r10_s10010,0.768,-0.392382,-0.452350,0.002350,0,0.525716,14.739513,0,0,0,0
static_right_r10_s10010,0.800,-0.389443,-0.452527,0.002527,0,0.522812,14.737566,0,0,0,0
static_right_r10_s10010,0.832,-0.386505,-0.452710,0.002710,0,0.519908,14.735625,0,0,0,0
static_right_r10_s10010,0.864,-0.383567,-0.452900,0.002900,0,0.517003,14.733689,0,0,0,0
static_right_r10_s10010,0.896,-0.380630,-0.453095,0.003095,0,0.514098,14.731757,0,0,0,0
static_right_r10_s10010,0.928,-0.377692,-0.453297,0.003297,0,0.511192,14.729831,0,0,0,0
static_right_r10_s10010,0.960,-0.374756,-0.453505,0.003505,0,0.508286,14.727910,0,0,0,0
static_right_r10_s10010,0.992,-0.371820,-0.453720,0.003720,0,0.505379,14.725994,0,0,0,0
static_right_r10_s10010,1.024,-0.368884,-0.453942,0.003942,0,0.502471,14.724084,0,0,0,0
static_right_r10_s10010,1.056,-0.365949,-0.454170,0.004170,0,0.499563,14.722179,0,0,0,0
static_right_r10_s10010,1.088,-0.363014,-0.454407,0.004407,0,0.496653,14.720282,0,0,0,0
static_right_r10_s10010,1.120,-0.360081,-0.454656,0.004656,0,0.493743,14.718393,0,0,0,0
static_right_r10_s10010,1.152,-0.357148,-0.454914,0.004914,0,0.490831,14.716512,0,0,0,0
static_right_r10_s10010,1.184,-0.354216,-0.455185,0.005185,0,0.487918,14.714642,0,0,0,0
static_right_r10_s10010,1.216,-0.351286,-0.455468,0.005468,0,0.485003,14.712781,0,0,0,0
static_right_r10_s10010,1.248,-0.348356,-0.455762,0.005762,0,0.482087,14.710930,0,0,0,0
static_right_r10_s10010,1.280,-0.345428,-0.456069,0.006069,0,0.479170,14.709088,0,0,0,0
static_right_r10_s10010,1.312,-0.342501,-0.456385,0.006385,0,0.476252,14.707254,0,0,0,0
static_right_r10_s10010,1.344,-0.339575,-0.456710,0.006710,0,0.473333,14.705428,0,0,0,0
static_right_r10_s10010,1.376,-0.336650,-0.457043,0.007043,0,0.470413,14.703608,0,0,0,0
static_right_r10_s10010,1.408,-0.333725,-0.457377,0.007377,0,0.467494,14.701789,0,0,0,0
static_right_r10_s10010,1.440,-0.330800,-0.457709,0.007709,0,0.464575,14.699970,0,0,0,0
static_right_r10_s10010,1.472,-0.327874,-0.458033,0.008033,0,0.461658,14.698144,0,0,0,0
static_right_r10_s10010,1.504,-0.324947,-0.458344,0.008344,0,0.458742,14.696308,0,0,0,0
static_right_r10_s10010,1.536,-0.322017,-0.458639,0.008639,0,0.455829,14.694461,0,0,0,0
static_right_r10_s10010,1.568,-0.319086,-0.458917,0.008917,0,0.452919,14.692600,0,0,0,0
static_right_r10_s10010,1.600,-0.316153,-0.459177,0.009177,0,0.450012,14.690725,0,0,0,0
static_right_r10_s10010,1.632,-0.313218,-0.459416,0.009416,0,0.447109,14.688834,0,0,0,0
static_right_r10_s10010,1.664,-0.310281,-0.459634,0.009634,0,0.444210,14.686927,0,0,0,0
static_right_r10_s10010,1.696,-0.307344,-0.459833,0.009833,0,0.441316,14.685007,0,0,0,0
static_right_r10_s10010,1.728,-0.304405,-0.460011,0.010011,0,0.438425,14.683071,0,0,0,0
static_right_r10_s10010,1.760,-0.301465,-0.460171,0.010171,0,0.435540,14.681122,0,0,0,0
static_right_r10_s10010,1.792,-0.298524,-0.460315,0.010315,0,0.432658,14.679162,0,0,0,0
static_right_r10_s10010,1.824,-0.295583,-0.460445,0.010445,0,0.429781,14.677191,0,0,0,0
static_right_r10_s10010,1.856,-0.292641,-0.460560,0.010560,0,0.426907,14.675210,0,0,0,0
static_right_r10_s10010,1.888,-0.289699,-0.460663,0.010663,0,0.424037,14.673220,0,0,0,0
static_right_r10_s10010,1.920,-0.286756,-0.460754,0.010754,0,0.421172,14.671221,0,0,0,0
static_right_r10_s10010,1.952,-0.283814,-0.460831,0.010831,0,0.418310,14.669213,0,0,0,0
static_right_r10_s10010,1.984,-0.280870,-0.460898,0.010898,0,0.415452,14.667197,0,0,0,0
static_right_r10_s10010,2.016,-0.277927,-0.460956,0.010956,0,0.412598,14.665176,0,0,0,0
static_right_r10_s10010,2.048,-0.274984,-0.461007,0.011007,0,0.409746,14.663149,0,0,0,0
static_right_r10_s10010,2.080,-0.272040,-0.461050,0.011050,0,0.406898,14.661118,0,0,0,0
static_right_r10_s10010,2.112,-0.269097,-0.461085,0.011085,0,0.404053,14.659081,0,0,0,0
static_right_r10_s10010,2.144,-0.266153,-0.461115,0.011115,0,0.401211,14.657040,0,0,0,0
static_right_r10_s10010,2.176,-0.263209,-0.461138,0.011138,0,0.398372,14.654995,0,0,0,0
static_right_r10_s10010,2.208,-0.260265,-0.461155,0.011155,0,0.395536,14.652946,0,0,0,0
static_right_r10_s10010,2.240,-0.257321,-0.461168,0.011168,0,0.392703,14.650894,0,0,0,0
static_right_r10_s10010,2.272,-0.254378,-0.461179,0.011179,0,0.389872,14.648840,0,0,0,0
static_right_r10_s10010,2.304,-0.251434,-0.461187,0.011187,0,0.387044,14.646785,0,0,0,0
static_right_r10_s10010,2.336,-0.248490,-0.461197,0.011197,0,0.384217,14.644732,0,0,0,0
static_right_r10_s10010,2.368,-0.245546,-0.461202,0.011202,0,0.381393,14.642676,0,0,0,0
static_right_r10_s10010,2.400,-0.242602,-0.461209,0.011209,0,0.378570,14.640621,0,0,0,0
static_right_r10_s10010,2.432,-0.239658,-0.461211,0.011211,0,0.375751,14.638563,0,0,0,0
static_right_r10_s10010,2.464,-0.236714,-0.461215,0.011215,0,0.372933,14.636507,0,0,0,0
static_right_r10_s10010,2.496,-0.233770,-0.461219,0.011219,0,0.370117,14.634451,0,0,0,0
static_right_r10_s10010,2.528,-0.230826,-0.461224,0.011224,0,0.367302,14.632396,0,0,0,0
static_right_r10_s10010,2.560,-0.227882,-0.461228,0.011228,0,0.364490,14.630340,0,0,0,0
static_right_r10_s10010,2.592,-0.224938,-0.461233,0.011233,0,0.361680,14.628286,0,0,0,0
static_right_r10_s10010,2.624,-0.221994,-0.461238,0.011238,0,0.358872,14.626232,0,0,0,0
static_right_r10_s10010,2.656,-0.219050,-0.461242,0.011242,0,0.356066,14.624178,0,0,0,0
static_right_r10_s10010,2.688,-0.216106,-0.461247,0.011247,0,0.353262,14.622124,0,0,0,0
static_right_r10_s10010,2.720,-0.213162,-0.461252,0.011252,0,0.350461,14.620071,0,0,0,0
static_right_r10_s10010,2.752,-0.210218,-0.461257,0.011257,0,0.347662,14.618018,0,0,0,0
static_right_r10_s10010,2.784,-0.207274,-0.461261,0.011261,0,0.344865,14.615965,0,0,0,0
static_right_r10_s10010,2.816,-0.204330,-0.461266,0.011266,0,0.342071,14.613912,0,0,0,0
static_right_r10_s10010,2.848,-0.201386,-0.461271,0.011271,0,0.339280,14.611860,0,0,0,0
static_right_r10_s10010,2.880,-0.198442,-0.461276,0.011276,0,0.336491,14.609808,0,0,0,0
