run_id,scenario_id,repetition,seed,controller_mode,configuration_id,route,lighting,static_position,moving_speed_mps,duration_s,completed,lane_following_success,within_lane_fraction,mean_lane_error_m,max_lane_error_m,collision_count,min_static_clearance_m,min_moving_clearance_m,checkpoints_passed,failure_reason,detection_true_positive,detection_false_positive,stop_wait_observed,avoid_observed,rejoin_observed,stop_wait_time_s,avoidance_time_s,rejoin_time_s,moving_stop_distance_m,final_state
route_straight_smoke_r01_s0001,route_straight_smoke,1,1,vision,,straight,nominal,center,0.150,30.016,0,0,0.346482,0.427402,1.218637,0,14.297907,14.297907,1,time_limit,0,0,0,0,0,0.000,0.000,0.000,,
baseline_straight_smoke_r01_s0002,baseline_straight_smoke,1,2,baseline,,straight,nominal,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,,0,0,0,0,0,0.000,0.000,0.000,,
route_straight_marker_r01_s0003,route_straight_marker,1,3,vision,,straight,nominal,center,0.150,9.632,1,1,1.000000,0.003096,0.010114,0,14.181732,14.181732,1,,0,0,0,0,0,0.000,0.000,0.000,,
curve_diagnostic3_r01_s0032,curve_diagnostic3,1,32,vision,,full,nominal,center,0.150,38.016,0,0,1.000000,0.064038,0.114934,0,13.264873,13.264873,2,time_limit,0,0,0,0,0,0.000,0.000,0.000,,
initial_diagnostic_r01_s0001,initial_diagnostic,1,1,vision,,full,nominal,center,0.150,1.024,0,0,1.000000,0.000108,0.000224,0,14.721347,14.721347,0,time_limit,0,0,0,0,0,0.000,0.000,0.000,,
adaptive_full_r01_s0040,adaptive_full,1,40,vision,,full,nominal,center,0.150,54.528,1,1,1.000000,0.074321,0.110568,0,13.264328,13.264328,3,,0,0,0,0,0,0.000,0.000,0.000,,
narrow_lane_full_r01_s0041,narrow_lane_full,1,41,vision,,full,nominal,center,0.150,57.280,1,1,1.000000,0.035488,0.056881,0,13.214513,13.214513,3,,0,0,0,0,0,0.000,0.000,0.000,,
lane_curve_dim_r01_s10001,lane_curve_dim,1,10001,vision,,full,dim,center,0.150,57.280,1,1,1.000000,0.035574,0.057308,0,13.214847,13.214847,3,,0,0,0,0,0,0.000,0.000,0.000,,FOLLOW_LANE
lane_curve_bright_r01_s10001,lane_curve_bright,1,10001,vision,,full,bright,center,0.150,58.432,1,1,1.000000,0.031730,0.058563,0,13.215342,13.215342,3,,0,0,0,0,0,0.000,0.000,0.000,,FOLLOW_LANE
static_center_r01_s10001,static_center,1,10001,vision,,full,nominal,center,0.150,60.448,1,1,1.000000,0.044556,0.122139,0,0.080764,13.214512,3,,1,0,1,1,1,0.576,3.744,0.128,14.472658,FOLLOW_LANE
moving_015_r01_s10001,moving_015,1,10001,vision,,full,nominal,center,0.150,57.760,1,1,1.000000,0.035344,0.056883,0,13.214525,0.140915,3,,1,0,1,0,1,0.384,0.000,0.128,0.140915,FOLLOW_LANE
lane_straight_nominal_r01_s10001,lane_straight_nominal,1,10001,vision,,straight,nominal,center,0.150,9.600,1,1,1.000000,0.001250,0.004838,0,14.180121,14.180121,1,,0,0,0,0,0,0.000,0.000,0.000,,FOLLOW_LANE
