run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
initial_diagnostic_r01_s0001,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
initial_diagnostic_r01_s0001,0.064,-0.457057,-0.450000,0.000000,0,14.783523,14.783523,0,0,0,0
initial_diagnostic_r01_s0001,0.096,-0.454120,-0.450003,0.000003,0,14.781448,14.781448,0,0,0,0
initial_diagnostic_r01_s0001,0.128,-0.451176,-0.450013,0.000013,0,14.779373,14.779373,0,0,0,0
initial_diagnostic_r01_s0001,0.160,-0.448232,-0.450021,0.000021,0,14.777297,14.777297,0,0,0,0
initial_diagnostic_r01_s0001,0.192,-0.445288,-0.450029,0.000029,0,14.775221,14.775221,0,0,0,0
initial_diagnostic_r01_s0001,0.224,-0.442344,-0.450037,0.000037,0,14.773146,14.773146,0,0,0,0
initial_diagnostic_r01_s0001,0.256,-0.439400,-0.450045,0.000045,0,14.771070,14.771070,0,0,0,0
initial_diagnostic_r01_s0001,0.288,-0.436456,-0.450053,0.000053,0,14.768995,14.768995,0,0,0,0
initial_diagnostic_r01_s0001,0.320,-0.433512,-0.450060,0.000060,0,14.766920,14.766920,0,0,0,0
initial_diagnostic_r01_s0001,0.352,-0.430568,-0.450068,0.000068,0,14.764846,14.764846,0,0,0,0
initial_diagnostic_r01_s0001,0.384,-0.427624,-0.450075,0.000075,0,14.762772,14.762772,0,0,0,0
initial_diagnostic_r01_s0001,0.416,-0.424680,-0.450083,0.000083,0,14.760697,14.760697,0,0,0,0
initial_diagnostic_r01_s0001,0.448,-0.421736,-0.450090,0.000090,0,14.758624,14.758624,0,0,0,0
initial_diagnostic_r01_s0001,0.480,-0.418792,-0.450098,0.000098,0,14.756550,14.756550,0,0,0,0
initial_diagnostic_r01_s0001,0.512,-0.415848,-0.450105,0.000105,0,14.754477,14.754477,0,0,0,0
initial_diagnostic_r01_s0001,0.544,-0.412904,-0.450112,0.000112,0,14.752404,14.752404,0,0,0,0
initial_diagnostic_r01_s0001,0.576,-0.409961,-0.450120,0.000120,0,14.750332,14.750332,0,0,0,0
initial_diagnostic_r01_s0001,0.608,-0.407017,-0.450127,0.000127,0,14.748259,14.748259,0,0,0,0
initial_diagnostic_r01_s0001,0.640,-0.404073,-0.450135,0.000135,0,14.746187,14.746187,0,0,0,0
initial_diagnostic_r01_s0001,0.672,-0.401129,-0.450142,0.000142,0,14.744116,14.744116,0,0,0,0
initial_diagnostic_r01_s0001,0.704,-0.398185,-0.450150,0.000150,0,14.742044,14.742044,0,0,0,0
initial_diagnostic_r01_s0001,0.736,-0.395241,-0.450157,0.000157,0,14.739973,14.739973,0,0,0,0
initial_diagnostic_r01_s0001,0.768,-0.392297,-0.450164,0.000164,0,14.737902,14.737902,0,0,0,0
initial_diagnostic_r01_s0001,0.800,-0.389353,-0.450172,0.000172,0,14.735832,14.735832,0,0,0,0
initial_diagnostic_r01_s0001,0.832,-0.386409,-0.450179,0.000179,0,14.733762,14.733762,0,0,0,0
initial_diagnostic_r01_s0001,0.864,-0.383465,-0.450187,0.000187,0,14.731692,14.731692,0,0,0,0
initial_diagnostic_r01_s0001,0.896,-0.380521,-0.450194,0.000194,0,14.729622,14.729622,0,0,0,0
initial_diagnostic_r01_s0001,0.928,-0.377577,-0.450202,0.000202,0,14.727553,14.727553,0,0,0,0
initial_diagnostic_r01_s0001,0.960,-0.374633,-0.450209,0.000209,0,14.725484,14.725484,0,0,0,0
initial_diagnostic_r01_s0001,0.992,-0.371689,-0.450216,0.000216,0,14.723415,14.723415,0,0,0,0
initial_diagnostic_r01_s0001,1.024,-0.368745,-0.450224,0.000224,0,14.721347,14.721347,0,0,0,0
