run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished,obstacle_layout,static_obstacle_count,moving_obstacle_count
multi_mixed_obstacles_r01_s10001,0.032,-0.460000,-0.450000,0.000000,0,0.581378,1.313202,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.064,-0.457069,-0.449998,0.000002,0,0.578453,1.312176,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.096,-0.454137,-0.449977,0.000023,0,0.575527,1.311138,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.128,-0.451193,-0.449942,0.000058,0,0.572588,1.310089,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.160,-0.448250,-0.449895,0.000105,0,0.569648,1.309034,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.192,-0.445310,-0.449846,0.000154,0,0.566713,1.307984,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.224,-0.442367,-0.449792,0.000208,0,0.563773,1.306934,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.256,-0.439423,-0.449740,0.000260,0,0.560833,1.305891,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.288,-0.436480,-0.449681,0.000319,0,0.557893,1.304849,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.320,-0.433537,-0.449617,0.000383,0,0.554953,1.303807,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.352,-0.430594,-0.449549,0.000451,0,0.552012,1.302767,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.384,-0.427651,-0.449475,0.000525,0,0.549071,1.301728,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.416,-0.424708,-0.449395,0.000605,0,0.546130,1.300688,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.448,-0.421765,-0.449307,0.000693,0,0.543189,1.299647,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.480,-0.418822,-0.449215,0.000785,0,0.540248,1.298608,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.512,-0.415880,-0.449121,0.000879,0,0.537306,1.297573,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.544,-0.412938,-0.449021,0.000979,0,0.534364,1.296538,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.576,-0.409996,-0.448916,0.001084,0,0.531422,1.295504,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.608,-0.407054,-0.448808,0.001192,0,0.528480,1.294473,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.640,-0.404112,-0.448694,0.001306,0,0.525538,1.293443,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.672,-0.401170,-0.448575,0.001425,0,0.522596,1.292414,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.704,-0.398229,-0.448454,0.001546,0,0.519653,1.291388,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.736,-0.395287,-0.448334,0.001666,0,0.516711,1.290370,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.768,-0.392346,-0.448210,0.001790,0,0.513769,1.289354,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.800,-0.389405,-0.448082,0.001918,0,0.510826,1.288341,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.832,-0.386463,-0.447951,0.002049,0,0.507883,1.287330,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.864,-0.383523,-0.447817,0.002183,0,0.504941,1.286322,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.896,-0.380582,-0.447680,0.002320,0,0.501998,1.285317,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.928,-0.377641,-0.447544,0.002456,0,0.499055,1.284320,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.960,-0.374700,-0.447404,0.002596,0,0.496112,1.283324,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,0.992,-0.371760,-0.447260,0.002740,0,0.493169,1.282331,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.024,-0.368819,-0.447113,0.002887,0,0.490226,1.281340,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.056,-0.365879,-0.446962,0.003038,0,0.487283,1.280353,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.088,-0.362939,-0.446813,0.003187,0,0.484340,1.279373,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.120,-0.359999,-0.446659,0.003341,0,0.481397,1.278394,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.152,-0.357059,-0.446507,0.003493,0,0.478454,1.277423,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.184,-0.354119,-0.446355,0.003645,0,0.475511,1.276458,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.216,-0.351179,-0.446198,0.003802,0,0.472567,1.275495,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.248,-0.348239,-0.446038,0.003962,0,0.469624,1.274535,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.280,-0.345300,-0.445874,0.004126,0,0.466681,1.273577,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.312,-0.342361,-0.445707,0.004293,0,0.463737,1.272623,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.344,-0.339422,-0.445536,0.004464,0,0.460794,1.271671,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.376,-0.336483,-0.445362,0.004638,0,0.457850,1.270722,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.408,-0.333544,-0.445190,0.004810,0,0.454907,1.269780,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.440,-0.330605,-0.445018,0.004982,0,0.451964,1.268845,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.472,-0.327666,-0.444846,0.005154,0,0.449020,1.267916,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.504,-0.324727,-0.444674,0.005326,0,0.446077,1.266994,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.536,-0.321788,-0.444502,0.005498,0,0.443133,1.266078,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.568,-0.318849,-0.444330,0.005670,0,0.440190,1.265168,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.600,-0.315910,-0.444158,0.005842,0,0.437246,1.264264,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.632,-0.312971,-0.443987,0.006013,0,0.434303,1.263366,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.664,-0.310032,-0.443815,0.006185,0,0.431360,1.262475,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.696,-0.307093,-0.443644,0.006356,0,0.428416,1.261590,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.728,-0.304154,-0.443472,0.006528,0,0.425473,1.260712,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.760,-0.301215,-0.443301,0.006699,0,0.422529,1.259839,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.792,-0.298276,-0.443129,0.006871,0,0.419586,1.258973,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.824,-0.295337,-0.442953,0.007047,0,0.416643,1.258109,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.856,-0.292399,-0.442778,0.007222,0,0.413699,1.257252,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.888,-0.289460,-0.442598,0.007402,0,0.410756,1.256397,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.920,-0.286521,-0.442419,0.007581,0,0.407812,1.255549,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.952,-0.283583,-0.442241,0.007759,0,0.404869,1.254708,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,1.984,-0.280644,-0.442062,0.007938,0,0.401925,1.253873,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.016,-0.277706,-0.441884,0.008116,0,0.398982,1.253044,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.048,-0.274767,-0.441705,0.008295,0,0.396038,1.252222,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.080,-0.271829,-0.441527,0.008473,0,0.393095,1.251406,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.112,-0.268890,-0.441348,0.008652,0,0.390151,1.250597,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.144,-0.265951,-0.441170,0.008830,0,0.387208,1.249794,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.176,-0.263013,-0.440996,0.009004,0,0.384265,1.249003,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.208,-0.260073,-0.440829,0.009171,0,0.381321,1.248223,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.240,-0.257134,-0.440669,0.009331,0,0.378378,1.247457,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.272,-0.254193,-0.440518,0.009482,0,0.375436,1.246707,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.304,-0.251253,-0.440377,0.009623,0,0.372493,1.245972,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.336,-0.248311,-0.440246,0.009754,0,0.369551,1.245254,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.368,-0.245370,-0.440126,0.009874,0,0.366609,1.244553,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.400,-0.242428,-0.440013,0.009987,0,0.363668,1.243866,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.432,-0.239485,-0.439912,0.010088,0,0.360728,1.243197,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.464,-0.236543,-0.439818,0.010182,0,0.357787,1.242541,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.496,-0.233600,-0.439732,0.010268,0,0.354848,1.241900,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.528,-0.230657,-0.439655,0.010345,0,0.351909,1.241274,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.560,-0.227714,-0.439586,0.010414,0,0.348970,1.240663,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.592,-0.224770,-0.439523,0.010477,0,0.346032,1.240064,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.624,-0.221827,-0.439468,0.010532,0,0.343095,1.239480,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.656,-0.218883,-0.439420,0.010580,0,0.340158,1.238909,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.688,-0.215940,-0.439376,0.010624,0,0.337222,1.238348,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.720,-0.212996,-0.439334,0.010666,0,0.334286,1.237797,0,0,0,0,mixed,1,1
multi_mixed_obstacles_r01_s10001,2.752,-0.210052,-0.439297,0.010703,0,0.331350,1.237258,0,0,0,0,mixed,1,1
