run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
route_straight_marker_r01_s0003,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
route_straight_marker_r01_s0003,0.064,-0.457057,-0.450000,0.000000,0,14.783523,14.783523,0,0,0,0
route_straight_marker_r01_s0003,0.096,-0.454112,-0.450000,0.000000,0,14.781440,14.781440,0,0,0,0
route_straight_marker_r01_s0003,0.128,-0.451168,-0.449999,0.000001,0,14.779357,14.779357,0,0,0,0
route_straight_marker_r01_s0003,0.160,-0.448224,-0.449995,0.000005,0,14.777272,14.777272,0,0,0,0
route_straight_marker_r01_s0003,0.192,-0.445280,-0.449992,0.000008,0,14.775189,14.775189,0,0,0,0
route_straight_marker_r01_s0003,0.224,-0.442336,-0.449995,0.000005,0,14.773110,14.773110,0,0,0,0
route_straight_marker_r01_s0003,0.256,-0.439392,-0.450006,0.000006,0,14.771037,14.771037,0,0,0,0
route_straight_marker_r01_s0003,0.288,-0.436448,-0.450014,0.000014,0,14.768962,14.768962,0,0,0,0
route_straight_marker_r01_s0003,0.320,-0.433504,-0.450022,0.000022,0,14.766888,14.766888,0,0,0,0
route_straight_marker_r01_s0003,0.352,-0.430560,-0.450030,0.000030,0,14.764813,14.764813,0,0,0,0
route_straight_marker_r01_s0003,0.384,-0.427616,-0.450038,0.000038,0,14.762739,14.762739,0,0,0,0
route_straight_marker_r01_s0003,0.416,-0.424672,-0.450045,0.000045,0,14.760665,14.760665,0,0,0,0
route_straight_marker_r01_s0003,0.448,-0.421728,-0.450053,0.000053,0,14.758592,14.758592,0,0,0,0
route_straight_marker_r01_s0003,0.480,-0.418784,-0.450056,0.000056,0,14.756515,14.756515,0,0,0,0
route_straight_marker_r01_s0003,0.512,-0.415840,-0.450060,0.000060,0,14.754439,14.754439,0,0,0,0
route_straight_marker_r01_s0003,0.544,-0.412896,-0.450064,0.000064,0,14.752364,14.752364,0,0,0,0
route_straight_marker_r01_s0003,0.576,-0.409952,-0.450068,0.000068,0,14.750289,14.750289,0,0,0,0
