run_id,scenario_id,repetition,seed,controller_mode,configuration_id,route,lighting,static_position,moving_speed_mps,duration_s,completed,lane_following_success,within_lane_fraction,mean_lane_error_m,max_lane_error_m,collision_count,min_static_clearance_m,min_moving_clearance_m,checkpoints_passed,failure_reason,obstacle_layout,static_obstacle_count,moving_obstacle_count
route_straight_smoke_r01_s0001,route_straight_smoke,1,1,vision,,straight,nominal,center,0.150,30.016,0,0,0.346482,0.427402,1.218637,0,14.297907,14.297907,1,time_limit,,,
baseline_straight_smoke_r01_s0002,baseline_straight_smoke,1,2,baseline,,straight,nominal,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,,,,
route_straight_marker_r01_s0003,route_straight_marker,1,3,vision,,straight,nominal,center,0.150,9.632,1,1,1.000000,0.003096,0.010114,0,14.181732,14.181732,1,,,,
curve_diagnostic3_r01_s0032,curve_diagnostic3,1,32,vision,,full,nominal,center,0.150,38.016,0,0,1.000000,0.064038,0.114934,0,13.264873,13.264873,2,time_limit,,,
initial_diagnostic_r01_s0001,initial_diagnostic,1,1,vision,,full,nominal,center,0.150,1.024,0,0,1.000000,0.000108,0.000224,0,14.721347,14.721347,0,time_limit,,,
adaptive_full_r01_s0040,adaptive_full,1,40,vision,,full,nominal,center,0.150,54.528,1,1,1.000000,0.074321,0.110568,0,13.264328,13.264328,3,,,,
narrow_lane_full_r01_s0041,narrow_lane_full,1,41,vision,,full,nominal,center,0.150,57.280,1,1,1.000000,0.035488,0.056881,0,13.214513,13.214513,3,,,,
lane_straight_nominal_baseline_r01_s10001,lane_straight_nominal_baseline,1,10001,baseline,,straight,nominal,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,,,,
lane_straight_dim_baseline_r01_s10001,lane_straight_dim_baseline,1,10001,baseline,,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,,,,
lane_straight_bright_baseline_r01_s10001,lane_straight_bright_baseline,1,10001,baseline,,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,,,,
lane_curve_nominal_baseline_r01_s10001,lane_curve_nominal_baseline,1,10001,baseline,,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit,,,
lane_curve_dim_baseline_r01_s10001,lane_curve_dim_baseline,1,10001,baseline,,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit,,,
lane_curve_bright_baseline_r01_s10001,lane_curve_bright_baseline,1,10001,baseline,,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit,,,
final_freeze_smoke_r01_s0050,final_freeze_smoke,1,50,vision,,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,,,,
lane_straight_nominal_r01_s10001,lane_straight_nominal,1,10001,vision,unfrozen,straight,nominal,center,0.150,9.632,1,1,1.000000,0.003844,0.010587,0,99.000000,99.000000,1,,single,0,0
