run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_curve_tuned_r01_s0005,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_curve_tuned_r01_s0005,0.064,-0.458209,-0.450000,0.000000,0,14.784338,14.784338,0,0,0,0
phase2_curve_tuned_r01_s0005,0.096,-0.456418,-0.450001,0.000001,0,14.783071,14.783071,0,0,0,0
phase2_curve_tuned_r01_s0005,0.128,-0.454626,-0.450003,0.000003,0,14.781805,14.781805,0,0,0,0
phase2_curve_tuned_r01_s0005,0.160,-0.452834,-0.450004,0.000004,0,14.780539,14.780539,0,0,0,0
phase2_curve_tuned_r01_s0005,0.192,-0.451042,-0.450007,0.000007,0,14.779273,14.779273,0,0,0,0
phase2_curve_tuned_r01_s0005,0.224,-0.449250,-0.450010,0.000010,0,14.778008,14.778008,0,0,0,0
phase2_curve_tuned_r01_s0005,0.256,-0.447458,-0.450013,0.000013,0,14.776744,14.776744,0,0,0,0
phase2_curve_tuned_r01_s0005,0.288,-0.445666,-0.450017,0.000017,0,14.775479,14.775479,0,0,0,0
phase2_curve_tuned_r01_s0005,0.320,-0.443874,-0.450022,0.000022,0,14.774216,14.774216,0,0,0,0
phase2_curve_tuned_r01_s0005,0.352,-0.442082,-0.450027,0.000027,0,14.772953,14.772953,0,0,0,0
phase2_curve_tuned_r01_s0005,0.384,-0.440290,-0.450033,0.000033,0,14.771690,14.771690,0,0,0,0
phase2_curve_tuned_r01_s0005,0.416,-0.438498,-0.450039,0.000039,0,14.770428,14.770428,0,0,0,0
phase2_curve_tuned_r01_s0005,0.448,-0.436706,-0.450045,0.000045,0,14.769166,14.769166,0,0,0,0
phase2_curve_tuned_r01_s0005,0.480,-0.434914,-0.450052,0.000052,0,14.767905,14.767905,0,0,0,0
phase2_curve_tuned_r01_s0005,0.512,-0.433122,-0.450060,0.000060,0,14.766644,14.766644,0,0,0,0
phase2_curve_tuned_r01_s0005,0.544,-0.431330,-0.450068,0.000068,0,14.765384,14.765384,0,0,0,0
phase2_curve_tuned_r01_s0005,0.576,-0.429538,-0.450077,0.000077,0,14.764124,14.764124,0,0,0,0
phase2_curve_tuned_r01_s0005,0.608,-0.427746,-0.450086,0.000086,0,14.762865,14.762865,0,0,0,0
phase2_curve_tuned_r01_s0005,0.640,-0.425954,-0.450096,0.000096,0,14.761606,14.761606,0,0,0,0
phase2_curve_tuned_r01_s0005,0.672,-0.424162,-0.450106,0.000106,0,14.760348,14.760348,0,0,0,0
phase2_curve_tuned_r01_s0005,0.704,-0.422370,-0.450117,0.000117,0,14.759090,14.759090,0,0,0,0
phase2_curve_tuned_r01_s0005,0.736,-0.420578,-0.450128,0.000128,0,14.757832,14.757832,0,0,0,0
phase2_curve_tuned_r01_s0005,0.768,-0.418786,-0.450139,0.000139,0,14.756575,14.756575,0,0,0,0
phase2_curve_tuned_r01_s0005,0.800,-0.416994,-0.450152,0.000152,0,14.755319,14.755319,0,0,0,0
phase2_curve_tuned_r01_s0005,0.832,-0.415202,-0.450164,0.000164,0,14.754063,14.754063,0,0,0,0
phase2_curve_tuned_r01_s0005,0.864,-0.413410,-0.450178,0.000178,0,14.752807,14.752807,0,0,0,0
phase2_curve_tuned_r01_s0005,0.896,-0.411618,-0.450191,0.000191,0,14.751552,14.751552,0,0,0,0
phase2_curve_tuned_r01_s0005,0.928,-0.409826,-0.450206,0.000206,0,14.750298,14.750298,0,0,0,0
phase2_curve_tuned_r01_s0005,0.960,-0.408034,-0.450221,0.000221,0,14.749044,14.749044,0,0,0,0
phase2_curve_tuned_r01_s0005,0.992,-0.406242,-0.450236,0.000236,0,14.747790,14.747790,0,0,0,0
phase2_curve_tuned_r01_s0005,1.024,-0.404450,-0.450252,0.000252,0,14.746537,14.746537,0,0,0,0
phase2_curve_tuned_r01_s0005,1.056,-0.402658,-0.450268,0.000268,0,14.745284,14.745284,0,0,0,0
