run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_lane_clean_r01_s0011,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_lane_clean_r01_s0011,0.064,-0.457057,-0.450000,0.000000,0,14.783523,14.783523,0,0,0,0
phase2_lane_clean_r01_s0011,0.096,-0.454112,-0.450000,0.000000,0,14.781440,14.781440,0,0,0,0
phase2_lane_clean_r01_s0011,0.128,-0.451168,-0.450000,0.000000,0,14.779358,14.779358,0,0,0,0
phase2_lane_clean_r01_s0011,0.160,-0.448224,-0.450000,0.000000,0,14.777276,14.777276,0,0,0,0
phase2_lane_clean_r01_s0011,0.192,-0.445280,-0.450000,0.000000,0,14.775195,14.775195,0,0,0,0
phase2_lane_clean_r01_s0011,0.224,-0.442336,-0.450000,0.000000,0,14.773114,14.773114,0,0,0,0
phase2_lane_clean_r01_s0011,0.256,-0.439392,-0.450000,0.000000,0,14.771033,14.771033,0,0,0,0
phase2_lane_clean_r01_s0011,0.288,-0.436448,-0.450000,0.000000,0,14.768952,14.768952,0,0,0,0
phase2_lane_clean_r01_s0011,0.320,-0.433504,-0.450000,0.000000,0,14.766872,14.766872,0,0,0,0
phase2_lane_clean_r01_s0011,0.352,-0.430560,-0.450000,0.000000,0,14.764792,14.764792,0,0,0,0
phase2_lane_clean_r01_s0011,0.384,-0.427616,-0.450000,0.000000,0,14.762713,14.762713,0,0,0,0
phase2_lane_clean_r01_s0011,0.416,-0.424672,-0.450000,0.000000,0,14.760633,14.760633,0,0,0,0
phase2_lane_clean_r01_s0011,0.448,-0.421728,-0.450000,0.000000,0,14.758554,14.758554,0,0,0,0
phase2_lane_clean_r01_s0011,0.480,-0.418784,-0.450000,0.000000,0,14.756475,14.756475,0,0,0,0
phase2_lane_clean_r01_s0011,0.512,-0.415840,-0.450000,0.000000,0,14.754397,14.754397,0,0,0,0
phase2_lane_clean_r01_s0011,0.544,-0.412896,-0.450000,0.000000,0,14.752319,14.752319,0,0,0,0
phase2_lane_clean_r01_s0011,0.576,-0.409952,-0.450000,0.000000,0,14.750241,14.750241,0,0,0,0
phase2_lane_clean_r01_s0011,0.608,-0.407008,-0.450000,0.000000,0,14.748163,14.748163,0,0,0,0
phase2_lane_clean_r01_s0011,0.640,-0.404064,-0.450000,0.000000,0,14.746086,14.746086,0,0,0,0
