run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_lane_full_r01_s0002,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_lane_full_r01_s0002,0.064,-0.457058,-0.450000,0.000000,0,14.783523,14.783523,0,0,0,0
phase2_lane_full_r01_s0002,0.096,-0.454115,-0.449997,0.000003,0,14.781439,14.781439,0,0,0,0
phase2_lane_full_r01_s0002,0.128,-0.451170,-0.449994,0.000006,0,14.779355,14.779355,0,0,0,0
phase2_lane_full_r01_s0002,0.160,-0.448226,-0.449990,0.000010,0,14.777271,14.777271,0,0,0,0
phase2_lane_full_r01_s0002,0.192,-0.445283,-0.449985,0.000015,0,14.775186,14.775186,0,0,0,0
phase2_lane_full_r01_s0002,0.224,-0.442339,-0.449979,0.000021,0,14.773100,14.773100,0,0,0,0
phase2_lane_full_r01_s0002,0.256,-0.439395,-0.449972,0.000028,0,14.771015,14.771015,0,0,0,0
phase2_lane_full_r01_s0002,0.288,-0.436451,-0.449964,0.000036,0,14.768929,14.768929,0,0,0,0
phase2_lane_full_r01_s0002,0.320,-0.433507,-0.449955,0.000045,0,14.766842,14.766842,0,0,0,0
phase2_lane_full_r01_s0002,0.352,-0.430563,-0.449946,0.000054,0,14.764755,14.764755,0,0,0,0
phase2_lane_full_r01_s0002,0.384,-0.427619,-0.449935,0.000065,0,14.762668,14.762668,0,0,0,0
phase2_lane_full_r01_s0002,0.416,-0.424675,-0.449923,0.000077,0,14.760581,14.760581,0,0,0,0
phase2_lane_full_r01_s0002,0.448,-0.421731,-0.449911,0.000089,0,14.758493,14.758493,0,0,0,0
phase2_lane_full_r01_s0002,0.480,-0.418787,-0.449897,0.000103,0,14.756404,14.756404,0,0,0,0
phase2_lane_full_r01_s0002,0.512,-0.415843,-0.449883,0.000117,0,14.754316,14.754316,0,0,0,0
phase2_lane_full_r01_s0002,0.544,-0.412899,-0.449868,0.000132,0,14.752227,14.752227,0,0,0,0
phase2_lane_full_r01_s0002,0.576,-0.409955,-0.449851,0.000149,0,14.750137,14.750137,0,0,0,0
