run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_lane_roi_full_r01_s0010,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.064,-0.457057,-0.450000,0.000000,0,14.783523,14.783523,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.096,-0.454112,-0.450000,0.000000,0,14.781440,14.781440,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.128,-0.451168,-0.449998,0.000002,0,14.779356,14.779356,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.160,-0.448224,-0.449976,0.000024,0,14.777259,14.777259,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.192,-0.445280,-0.449960,0.000040,0,14.775167,14.775167,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.224,-0.442336,-0.449944,0.000056,0,14.773074,14.773074,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.256,-0.439392,-0.449913,0.000087,0,14.770971,14.770971,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.288,-0.436448,-0.449886,0.000114,0,14.768872,14.768872,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.320,-0.433505,-0.449859,0.000141,0,14.766772,14.766772,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.352,-0.430561,-0.449832,0.000168,0,14.764674,14.764674,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.384,-0.427617,-0.449806,0.000194,0,14.762576,14.762576,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.416,-0.424673,-0.449780,0.000220,0,14.760478,14.760478,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.448,-0.421729,-0.449754,0.000246,0,14.758380,14.758380,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.480,-0.418785,-0.449728,0.000272,0,14.756283,14.756283,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.512,-0.415842,-0.449683,0.000317,0,14.754173,14.754173,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.544,-0.412898,-0.449626,0.000374,0,14.752055,14.752055,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.576,-0.409954,-0.449573,0.000427,0,14.749940,14.749940,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.608,-0.407011,-0.449504,0.000496,0,14.747814,14.747814,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.640,-0.404068,-0.449423,0.000577,0,14.745680,14.745680,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.672,-0.401125,-0.449347,0.000653,0,14.743550,14.743550,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.704,-0.398182,-0.449271,0.000729,0,14.741420,14.741420,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.736,-0.395239,-0.449195,0.000805,0,14.739290,14.739290,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.768,-0.392296,-0.449120,0.000880,0,14.737162,14.737162,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.800,-0.389353,-0.449046,0.000954,0,14.735034,14.735034,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.832,-0.386410,-0.448971,0.001029,0,14.732906,14.732906,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.864,-0.383467,-0.448897,0.001103,0,14.730779,14.730779,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.896,-0.380524,-0.448823,0.001177,0,14.728652,14.728652,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.928,-0.377581,-0.448750,0.001250,0,14.726526,14.726526,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.960,-0.374638,-0.448676,0.001324,0,14.724400,14.724400,0,0,0,0
phase2_lane_roi_full_r01_s0010,0.992,-0.371695,-0.448586,0.001414,0,14.722262,14.722262,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.024,-0.368753,-0.448500,0.001500,0,14.720128,14.720128,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.056,-0.365810,-0.448414,0.001586,0,14.717994,14.717994,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.088,-0.362867,-0.448328,0.001672,0,14.715861,14.715861,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.120,-0.359924,-0.448242,0.001758,0,14.713728,14.713728,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.152,-0.356982,-0.448156,0.001844,0,14.711595,14.711595,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.184,-0.354039,-0.448071,0.001929,0,14.709463,14.709463,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.216,-0.351097,-0.447968,0.002032,0,14.707319,14.707319,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.248,-0.348155,-0.447854,0.002146,0,14.705168,14.705168,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.280,-0.345213,-0.447743,0.002257,0,14.703019,14.703019,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.312,-0.342271,-0.447617,0.002383,0,14.700860,14.700860,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.344,-0.339330,-0.447494,0.002506,0,14.698703,14.698703,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.376,-0.336389,-0.447356,0.002644,0,14.696536,14.696536,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.408,-0.333448,-0.447222,0.002778,0,14.694373,14.694373,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.440,-0.330507,-0.447088,0.002912,0,14.692210,14.692210,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.472,-0.327566,-0.446955,0.003045,0,14.690047,14.690047,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.504,-0.324625,-0.446822,0.003178,0,14.687886,14.687886,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.536,-0.321684,-0.446690,0.003310,0,14.685724,14.685724,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.568,-0.318743,-0.446558,0.003442,0,14.683563,14.683563,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.600,-0.315802,-0.446425,0.003575,0,14.681403,14.681403,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.632,-0.312861,-0.446294,0.003706,0,14.679243,14.679243,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.664,-0.309920,-0.446162,0.003838,0,14.677083,14.677083,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.696,-0.306979,-0.446030,0.003970,0,14.674923,14.674923,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.728,-0.304038,-0.445898,0.004102,0,14.672764,14.672764,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.760,-0.301097,-0.445767,0.004233,0,14.670605,14.670605,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.792,-0.298156,-0.445635,0.004365,0,14.668446,14.668446,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.824,-0.295215,-0.445504,0.004496,0,14.666288,14.666288,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.856,-0.292274,-0.445372,0.004628,0,14.664130,14.664130,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.888,-0.289333,-0.445240,0.004760,0,14.661972,14.661972,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.920,-0.286393,-0.445093,0.004907,0,14.659803,14.659803,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.952,-0.283453,-0.444933,0.005067,0,14.657627,14.657627,0,0,0,0
phase2_lane_roi_full_r01_s0010,1.984,-0.280513,-0.444777,0.005223,0,14.655453,14.655453,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.016,-0.277574,-0.444602,0.005398,0,14.653267,14.653267,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.048,-0.274636,-0.444415,0.005585,0,14.651073,14.651073,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.080,-0.271698,-0.444217,0.005783,0,14.648872,14.648872,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.112,-0.268761,-0.444006,0.005994,0,14.646663,14.646663,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.144,-0.265826,-0.443784,0.006216,0,14.644446,14.644446,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.176,-0.262890,-0.443566,0.006434,0,14.642233,14.642233,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.208,-0.259954,-0.443349,0.006651,0,14.640021,14.640021,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.240,-0.257018,-0.443133,0.006867,0,14.637809,14.637809,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.272,-0.254082,-0.442918,0.007082,0,14.635598,14.635598,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.304,-0.251146,-0.442703,0.007297,0,14.633388,14.633388,0,0,0,0
phase2_lane_roi_full_r01_s0010,2.336,-0.248210,-0.442488,0.007512,0,14.631178,14.631178,0,0,0,0
