run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_moving_early_r01_s0019,0.032,-0.460000,-0.450000,0.000000,0,14.785604,1.313202,0,0,0,0
phase2_moving_early_r01_s0019,0.064,-0.457057,-0.450000,0.000000,0,14.783523,1.312174,0,0,0,0
phase2_moving_early_r01_s0019,0.096,-0.454118,-0.450002,0.000002,0,14.781446,1.311156,0,0,0,0
phase2_moving_early_r01_s0019,0.128,-0.451174,-0.450010,0.000010,0,14.779369,1.310146,0,0,0,0
phase2_moving_early_r01_s0019,0.160,-0.448230,-0.450016,0.000016,0,14.777292,1.309141,0,0,0,0
phase2_moving_early_r01_s0019,0.192,-0.445286,-0.450022,0.000022,0,14.775214,1.308141,0,0,0,0
phase2_moving_early_r01_s0019,0.224,-0.442342,-0.450028,0.000028,0,14.773138,1.307148,0,0,0,0
phase2_moving_early_r01_s0019,0.256,-0.439398,-0.450034,0.000034,0,14.771061,1.306160,0,0,0,0
phase2_moving_early_r01_s0019,0.288,-0.436454,-0.450039,0.000039,0,14.768984,1.305178,0,0,0,0
phase2_moving_early_r01_s0019,0.320,-0.433510,-0.450045,0.000045,0,14.766908,1.304202,0,0,0,0
phase2_moving_early_r01_s0019,0.352,-0.430566,-0.450051,0.000051,0,14.764832,1.303231,0,0,0,0
phase2_moving_early_r01_s0019,0.384,-0.427622,-0.450056,0.000056,0,14.762757,1.302267,0,0,0,0
phase2_moving_early_r01_s0019,0.416,-0.424678,-0.450062,0.000062,0,14.760681,1.301309,0,0,0,0
phase2_moving_early_r01_s0019,0.448,-0.421734,-0.450068,0.000068,0,14.758606,1.300356,0,0,0,0
phase2_moving_early_r01_s0019,0.480,-0.418790,-0.450073,0.000073,0,14.756531,1.299410,0,0,0,0
phase2_moving_early_r01_s0019,0.512,-0.415846,-0.450079,0.000079,0,14.754457,1.298469,0,0,0,0
phase2_moving_early_r01_s0019,0.544,-0.412902,-0.450084,0.000084,0,14.752383,1.297534,0,0,0,0
phase2_moving_early_r01_s0019,0.576,-0.409958,-0.450090,0.000090,0,14.750309,1.296606,0,0,0,0
phase2_moving_early_r01_s0019,0.608,-0.407014,-0.450095,0.000095,0,14.748235,1.295683,0,0,0,0
phase2_moving_early_r01_s0019,0.640,-0.404070,-0.450101,0.000101,0,14.746162,1.294767,0,0,0,0
phase2_moving_early_r01_s0019,0.672,-0.401126,-0.450106,0.000106,0,14.744089,1.293856,0,0,0,0
phase2_moving_early_r01_s0019,0.704,-0.398182,-0.450112,0.000112,0,14.742016,1.292952,0,0,0,0
phase2_moving_early_r01_s0019,0.736,-0.395238,-0.450118,0.000118,0,14.739944,1.292054,0,0,0,0
phase2_moving_early_r01_s0019,0.768,-0.392294,-0.450123,0.000123,0,14.737872,1.291161,0,0,0,0
phase2_moving_early_r01_s0019,0.800,-0.389350,-0.450129,0.000129,0,14.735800,1.290275,0,0,0,0
phase2_moving_early_r01_s0019,0.832,-0.386406,-0.450134,0.000134,0,14.733728,1.289395,0,0,0,0
phase2_moving_early_r01_s0019,0.864,-0.383462,-0.450140,0.000140,0,14.731657,1.288521,0,0,0,0
phase2_moving_early_r01_s0019,0.896,-0.380518,-0.450145,0.000145,0,14.729586,1.287654,0,0,0,0
phase2_moving_early_r01_s0019,0.928,-0.377574,-0.450151,0.000151,0,14.727515,1.286792,0,0,0,0
phase2_moving_early_r01_s0019,0.960,-0.374630,-0.450157,0.000157,0,14.725445,1.285937,0,0,0,0
phase2_moving_early_r01_s0019,0.992,-0.371686,-0.450162,0.000162,0,14.723375,1.285087,0,0,0,0
phase2_moving_early_r01_s0019,1.024,-0.368742,-0.450168,0.000168,0,14.721305,1.284244,0,0,0,0
phase2_moving_early_r01_s0019,1.056,-0.365798,-0.450173,0.000173,0,14.719236,1.283408,0,0,0,0
phase2_moving_early_r01_s0019,1.088,-0.362855,-0.450179,0.000179,0,14.717167,1.282577,0,0,0,0
phase2_moving_early_r01_s0019,1.120,-0.359911,-0.450184,0.000184,0,14.715098,1.281752,0,0,0,0
phase2_moving_early_r01_s0019,1.152,-0.356967,-0.450190,0.000190,0,14.713029,1.280934,0,0,0,0
phase2_moving_early_r01_s0019,1.184,-0.354023,-0.450196,0.000196,0,14.710961,1.280122,0,0,0,0
phase2_moving_early_r01_s0019,1.216,-0.351079,-0.450201,0.000201,0,14.708893,1.279317,0,0,0,0
phase2_moving_early_r01_s0019,1.248,-0.348135,-0.450207,0.000207,0,14.706825,1.278517,0,0,0,0
phase2_moving_early_r01_s0019,1.280,-0.345191,-0.450212,0.000212,0,14.704758,1.277724,0,0,0,0
phase2_moving_early_r01_s0019,1.312,-0.342247,-0.450218,0.000218,0,14.702691,1.276937,0,0,0,0
phase2_moving_early_r01_s0019,1.344,-0.339303,-0.450224,0.000224,0,14.700624,1.276157,0,0,0,0
phase2_moving_early_r01_s0019,1.376,-0.336359,-0.450229,0.000229,0,14.698558,1.275383,0,0,0,0
phase2_moving_early_r01_s0019,1.408,-0.333415,-0.450235,0.000235,0,14.696491,1.274615,0,0,0,0
phase2_moving_early_r01_s0019,1.440,-0.330471,-0.450240,0.000240,0,14.694426,1.273853,0,0,0,0
phase2_moving_early_r01_s0019,1.472,-0.327527,-0.450246,0.000246,0,14.692360,1.273098,0,0,0,0
phase2_moving_early_r01_s0019,1.504,-0.324583,-0.450251,0.000251,0,14.690295,1.272349,0,0,0,0
phase2_moving_early_r01_s0019,1.536,-0.321639,-0.450257,0.000257,0,14.688230,1.271607,0,0,0,0
phase2_moving_early_r01_s0019,1.568,-0.318695,-0.450263,0.000263,0,14.686165,1.270871,0,0,0,0
phase2_moving_early_r01_s0019,1.600,-0.315751,-0.450268,0.000268,0,14.684101,1.270141,0,0,0,0
phase2_moving_early_r01_s0019,1.632,-0.312807,-0.450274,0.000274,0,14.682037,1.269418,0,0,0,0
phase2_moving_early_r01_s0019,1.664,-0.309863,-0.450279,0.000279,0,14.679973,1.268701,0,0,0,0
phase2_moving_early_r01_s0019,1.696,-0.306919,-0.450285,0.000285,0,14.677909,1.267991,0,0,0,0
phase2_moving_early_r01_s0019,1.728,-0.303975,-0.450291,0.000291,0,14.675846,1.267287,0,0,0,0
phase2_moving_early_r01_s0019,1.760,-0.301031,-0.450296,0.000296,0,14.673783,1.266589,0,0,0,0
phase2_moving_early_r01_s0019,1.792,-0.298087,-0.450302,0.000302,0,14.671721,1.265898,0,0,0,0
phase2_moving_early_r01_s0019,1.824,-0.295143,-0.450307,0.000307,0,14.669659,1.265213,0,0,0,0
phase2_moving_early_r01_s0019,1.856,-0.292199,-0.450313,0.000313,0,14.667597,1.264535,0,0,0,0
phase2_moving_early_r01_s0019,1.888,-0.289255,-0.450318,0.000318,0,14.665535,1.263864,0,0,0,0
phase2_moving_early_r01_s0019,1.920,-0.286311,-0.450324,0.000324,0,14.663474,1.263199,0,0,0,0
phase2_moving_early_r01_s0019,1.952,-0.283367,-0.450330,0.000330,0,14.661413,1.262540,0,0,0,0
phase2_moving_early_r01_s0019,1.984,-0.280423,-0.450335,0.000335,0,14.659352,1.261888,0,0,0,0
phase2_moving_early_r01_s0019,2.016,-0.277479,-0.450341,0.000341,0,14.657291,1.261243,0,0,0,0
phase2_moving_early_r01_s0019,2.048,-0.274535,-0.450346,0.000346,0,14.655231,1.260604,0,0,0,0
phase2_moving_early_r01_s0019,2.080,-0.271591,-0.450352,0.000352,0,14.653171,1.259971,0,0,0,0
phase2_moving_early_r01_s0019,2.112,-0.268647,-0.450358,0.000358,0,14.651112,1.259345,0,0,0,0
phase2_moving_early_r01_s0019,2.144,-0.265703,-0.450363,0.000363,0,14.649053,1.258726,0,0,0,0
phase2_moving_early_r01_s0019,2.176,-0.262759,-0.450369,0.000369,0,14.646994,1.258113,0,0,0,0
phase2_moving_early_r01_s0019,2.208,-0.259815,-0.450374,0.000374,0,14.644935,1.257507,0,0,0,0
phase2_moving_early_r01_s0019,2.240,-0.256871,-0.450380,0.000380,0,14.642877,1.256908,0,0,0,0
phase2_moving_early_r01_s0019,2.272,-0.253927,-0.450386,0.000386,0,14.640819,1.256315,0,0,0,0
phase2_moving_early_r01_s0019,2.304,-0.250983,-0.450391,0.000391,0,14.638761,1.255729,0,0,0,0
phase2_moving_early_r01_s0019,2.336,-0.248039,-0.450397,0.000397,0,14.636703,1.255149,0,0,0,0
phase2_moving_early_r01_s0019,2.368,-0.245095,-0.450402,0.000402,0,14.634646,1.254576,0,0,0,0
phase2_moving_early_r01_s0019,2.400,-0.242151,-0.450408,0.000408,0,14.632590,1.254010,0,0,0,0
phase2_moving_early_r01_s0019,2.432,-0.239207,-0.450414,0.000414,0,14.630533,1.253450,0,0,0,0
phase2_moving_early_r01_s0019,2.464,-0.236263,-0.450419,0.000419,0,14.628477,1.252897,0,0,0,0
phase2_moving_early_r01_s0019,2.496,-0.233319,-0.450425,0.000425,0,14.626421,1.252351,0,0,0,0
phase2_moving_early_r01_s0019,2.528,-0.230375,-0.450430,0.000430,0,14.624365,1.251811,0,0,0,0
phase2_moving_early_r01_s0019,2.560,-0.227431,-0.450436,0.000436,0,14.622310,1.251278,0,0,0,0
