run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_roi_frame_r01_s0009,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_roi_frame_r01_s0009,0.064,-0.457067,-0.449998,0.000002,0,14.783528,14.783528,0,0,0,0
phase2_roi_frame_r01_s0009,0.096,-0.454125,-0.449986,0.000014,0,14.781439,14.781439,0,0,0,0
phase2_roi_frame_r01_s0009,0.128,-0.451180,-0.449974,0.000026,0,14.779348,14.779348,0,0,0,0
phase2_roi_frame_r01_s0009,0.160,-0.448236,-0.449942,0.000058,0,14.777244,14.777244,0,0,0,0
phase2_roi_frame_r01_s0009,0.192,-0.445293,-0.449901,0.000099,0,14.775134,14.775134,0,0,0,0
phase2_roi_frame_r01_s0009,0.224,-0.442349,-0.449851,0.000149,0,14.773017,14.773017,0,0,0,0
phase2_roi_frame_r01_s0009,0.256,-0.439405,-0.449787,0.000213,0,14.770892,14.770892,0,0,0,0
phase2_roi_frame_r01_s0009,0.288,-0.436462,-0.449715,0.000285,0,14.768760,14.768760,0,0,0,0
phase2_roi_frame_r01_s0009,0.320,-0.433519,-0.449634,0.000366,0,14.766623,14.766623,0,0,0,0
phase2_roi_frame_r01_s0009,0.352,-0.430576,-0.449545,0.000455,0,14.764481,14.764481,0,0,0,0
phase2_roi_frame_r01_s0009,0.384,-0.427634,-0.449448,0.000552,0,14.762334,14.762334,0,0,0,0
phase2_roi_frame_r01_s0009,0.416,-0.424692,-0.449340,0.000660,0,14.760180,14.760180,0,0,0,0
phase2_roi_frame_r01_s0009,0.448,-0.421750,-0.449222,0.000778,0,14.758019,14.758019,0,0,0,0
phase2_roi_frame_r01_s0009,0.480,-0.418809,-0.449108,0.000892,0,14.755861,14.755861,0,0,0,0
phase2_roi_frame_r01_s0009,0.512,-0.415867,-0.448979,0.001021,0,14.753693,14.753693,0,0,0,0
phase2_roi_frame_r01_s0009,0.544,-0.412927,-0.448839,0.001161,0,14.751518,14.751518,0,0,0,0
phase2_roi_frame_r01_s0009,0.576,-0.409986,-0.448690,0.001310,0,14.749337,14.749337,0,0,0,0
phase2_roi_frame_r01_s0009,0.608,-0.407047,-0.448529,0.001471,0,14.747148,14.747148,0,0,0,0
phase2_roi_frame_r01_s0009,0.640,-0.404108,-0.448356,0.001644,0,14.744951,14.744951,0,0,0,0
phase2_roi_frame_r01_s0009,0.672,-0.401169,-0.448178,0.001822,0,14.742752,14.742752,0,0,0,0
phase2_roi_frame_r01_s0009,0.704,-0.398231,-0.448003,0.001997,0,14.740555,14.740555,0,0,0,0
phase2_roi_frame_r01_s0009,0.736,-0.395292,-0.447829,0.002171,0,14.738359,14.738359,0,0,0,0
phase2_roi_frame_r01_s0009,0.768,-0.392353,-0.447646,0.002354,0,14.736157,14.736157,0,0,0,0
phase2_roi_frame_r01_s0009,0.800,-0.389416,-0.447457,0.002543,0,14.733951,14.733951,0,0,0,0
phase2_roi_frame_r01_s0009,0.832,-0.386478,-0.447259,0.002741,0,14.731739,14.731739,0,0,0,0
phase2_roi_frame_r01_s0009,0.864,-0.383542,-0.447050,0.002950,0,14.729521,14.729521,0,0,0,0
phase2_roi_frame_r01_s0009,0.896,-0.380606,-0.446833,0.003167,0,14.727297,14.727297,0,0,0,0
phase2_roi_frame_r01_s0009,0.928,-0.377670,-0.446609,0.003391,0,14.725070,14.725070,0,0,0,0
phase2_roi_frame_r01_s0009,0.960,-0.374735,-0.446377,0.003623,0,14.722837,14.722837,0,0,0,0
phase2_roi_frame_r01_s0009,0.992,-0.371800,-0.446149,0.003851,0,14.720607,14.720607,0,0,0,0
phase2_roi_frame_r01_s0009,1.024,-0.368865,-0.445921,0.004079,0,14.718377,14.718377,0,0,0,0
