run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_smoke_r01_s0001,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_smoke_r01_s0001,0.064,-0.458592,-0.450000,0.000000,0,14.784609,14.784609,0,0,0,0
phase2_smoke_r01_s0001,0.096,-0.458592,-0.450000,0.000000,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.128,-0.458592,-0.450000,0.000000,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.160,-0.458592,-0.450000,0.000000,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.192,-0.458592,-0.450000,0.000000,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.224,-0.458592,-0.450000,0.000000,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.256,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.288,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.320,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.352,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.384,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.416,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.448,-0.458592,-0.450002,0.000002,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,0.480,-0.458592,-0.450000,0.000000,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.512,-0.458592,-0.449998,0.000002,0,14.784607,14.784607,0,0,0,0
phase2_smoke_r01_s0001,0.544,-0.458589,-0.449997,0.000003,0,14.784604,14.784604,0,0,0,0
phase2_smoke_r01_s0001,0.576,-0.458584,-0.449996,0.000004,0,14.784600,14.784600,0,0,0,0
phase2_smoke_r01_s0001,0.608,-0.458578,-0.449996,0.000004,0,14.784596,14.784596,0,0,0,0
phase2_smoke_r01_s0001,0.640,-0.458573,-0.449996,0.000004,0,14.784592,14.784592,0,0,0,0
phase2_smoke_r01_s0001,0.672,-0.458569,-0.449997,0.000003,0,14.784590,14.784590,0,0,0,0
phase2_smoke_r01_s0001,0.704,-0.458575,-0.449998,0.000002,0,14.784595,14.784595,0,0,0,0
phase2_smoke_r01_s0001,0.736,-0.458581,-0.449999,0.000001,0,14.784600,14.784600,0,0,0,0
phase2_smoke_r01_s0001,0.768,-0.458586,-0.450000,0.000000,0,14.784604,14.784604,0,0,0,0
phase2_smoke_r01_s0001,0.800,-0.458590,-0.450001,0.000001,0,14.784608,14.784608,0,0,0,0
phase2_smoke_r01_s0001,0.832,-0.458595,-0.450001,0.000001,0,14.784611,14.784611,0,0,0,0
phase2_smoke_r01_s0001,0.864,-0.458599,-0.450002,0.000002,0,14.784615,14.784615,0,0,0,0
phase2_smoke_r01_s0001,0.896,-0.458603,-0.450002,0.000002,0,14.784617,14.784617,0,0,0,0
phase2_smoke_r01_s0001,0.928,-0.458606,-0.450001,0.000001,0,14.784620,14.784620,0,0,0,0
phase2_smoke_r01_s0001,0.960,-0.458609,-0.450001,0.000001,0,14.784621,14.784621,0,0,0,0
phase2_smoke_r01_s0001,0.992,-0.458611,-0.450000,0.000000,0,14.784622,14.784622,0,0,0,0
phase2_smoke_r01_s0001,1.024,-0.458611,-0.450000,0.000000,0,14.784622,14.784622,0,0,0,0
phase2_smoke_r01_s0001,1.056,-0.458610,-0.449999,0.000001,0,14.784620,14.784620,0,0,0,0
phase2_smoke_r01_s0001,1.088,-0.458608,-0.449998,0.000002,0,14.784618,14.784618,0,0,0,0
phase2_smoke_r01_s0001,1.120,-0.458604,-0.449998,0.000002,0,14.784615,14.784615,0,0,0,0
phase2_smoke_r01_s0001,1.152,-0.458601,-0.449997,0.000003,0,14.784613,14.784613,0,0,0,0
phase2_smoke_r01_s0001,1.184,-0.458599,-0.449997,0.000003,0,14.784611,14.784611,0,0,0,0
phase2_smoke_r01_s0001,1.216,-0.458596,-0.449997,0.000003,0,14.784609,14.784609,0,0,0,0
phase2_smoke_r01_s0001,1.248,-0.458594,-0.449997,0.000003,0,14.784607,14.784607,0,0,0,0
phase2_smoke_r01_s0001,1.280,-0.458592,-0.449997,0.000003,0,14.784606,14.784606,0,0,0,0
phase2_smoke_r01_s0001,1.312,-0.458591,-0.449997,0.000003,0,14.784606,14.784606,0,0,0,0
phase2_smoke_r01_s0001,1.344,-0.458591,-0.449997,0.000003,0,14.784606,14.784606,0,0,0,0
phase2_smoke_r01_s0001,1.376,-0.458591,-0.449998,0.000002,0,14.784606,14.784606,0,0,0,0
phase2_smoke_r01_s0001,1.408,-0.458594,-0.449998,0.000002,0,14.784609,14.784609,0,0,0,0
phase2_smoke_r01_s0001,1.440,-0.458597,-0.449999,0.000001,0,14.784611,14.784611,0,0,0,0
phase2_smoke_r01_s0001,1.472,-0.458599,-0.449999,0.000001,0,14.784613,14.784613,0,0,0,0
phase2_smoke_r01_s0001,1.504,-0.458602,-0.450000,0.000000,0,14.784615,14.784615,0,0,0,0
phase2_smoke_r01_s0001,1.536,-0.458604,-0.450000,0.000000,0,14.784617,14.784617,0,0,0,0
phase2_smoke_r01_s0001,1.568,-0.458606,-0.450000,0.000000,0,14.784618,14.784618,0,0,0,0
phase2_smoke_r01_s0001,1.600,-0.458608,-0.450000,0.000000,0,14.784620,14.784620,0,0,0,0
phase2_smoke_r01_s0001,1.632,-0.458609,-0.450000,0.000000,0,14.784621,14.784621,0,0,0,0
phase2_smoke_r01_s0001,1.664,-0.458610,-0.450000,0.000000,0,14.784621,14.784621,0,0,0,0
phase2_smoke_r01_s0001,1.696,-0.458611,-0.450000,0.000000,0,14.784621,14.784621,0,0,0,0
phase2_smoke_r01_s0001,1.728,-0.458611,-0.450000,0.000000,0,14.784621,14.784621,0,0,0,0
phase2_smoke_r01_s0001,1.760,-0.458610,-0.449999,0.000001,0,14.784621,14.784621,0,0,0,0
phase2_smoke_r01_s0001,1.792,-0.458608,-0.449999,0.000001,0,14.784620,14.784620,0,0,0,0
phase2_smoke_r01_s0001,1.824,-0.458607,-0.449999,0.000001,0,14.784618,14.784618,0,0,0,0
phase2_smoke_r01_s0001,1.856,-0.458605,-0.449999,0.000001,0,14.784617,14.784617,0,0,0,0
phase2_smoke_r01_s0001,1.888,-0.458603,-0.449999,0.000001,0,14.784615,14.784615,0,0,0,0
phase2_smoke_r01_s0001,1.920,-0.458601,-0.449999,0.000001,0,14.784614,14.784614,0,0,0,0
phase2_smoke_r01_s0001,1.952,-0.458600,-0.449999,0.000001,0,14.784613,14.784613,0,0,0,0
phase2_smoke_r01_s0001,1.984,-0.458598,-0.449999,0.000001,0,14.784612,14.784612,0,0,0,0
phase2_smoke_r01_s0001,2.016,-0.458597,-0.449999,0.000001,0,14.784611,14.784611,0,0,0,0
phase2_smoke_r01_s0001,2.048,-0.458597,-0.449999,0.000001,0,14.784611,14.784611,0,0,0,0
phase2_smoke_r01_s0001,2.080,-0.458598,-0.449998,0.000002,0,14.784611,14.784611,0,0,0,0
phase2_smoke_r01_s0001,2.112,-0.458599,-0.449996,0.000004,0,14.784610,14.784610,0,0,0,0
phase2_smoke_r01_s0001,2.144,-0.458599,-0.449993,0.000007,0,14.784609,14.784609,0,0,0,0
phase2_smoke_r01_s0001,2.176,-0.458600,-0.449989,0.000011,0,14.784606,14.784606,0,0,0,0
phase2_smoke_r01_s0001,2.208,-0.458601,-0.449984,0.000016,0,14.784603,14.784603,0,0,0,0
phase2_smoke_r01_s0001,2.240,-0.458601,-0.449978,0.000022,0,14.784599,14.784599,0,0,0,0
phase2_smoke_r01_s0001,2.272,-0.458602,-0.449973,0.000027,0,14.784596,14.784596,0,0,0,0
phase2_smoke_r01_s0001,2.304,-0.458602,-0.449968,0.000032,0,14.784593,14.784593,0,0,0,0
phase2_smoke_r01_s0001,2.336,-0.458603,-0.449964,0.000036,0,14.784590,14.784590,0,0,0,0
phase2_smoke_r01_s0001,2.368,-0.458603,-0.449960,0.000040,0,14.784588,14.784588,0,0,0,0
phase2_smoke_r01_s0001,2.400,-0.458603,-0.449956,0.000044,0,14.784585,14.784585,0,0,0,0
phase2_smoke_r01_s0001,2.432,-0.458602,-0.449953,0.000047,0,14.784583,14.784583,0,0,0,0
phase2_smoke_r01_s0001,2.464,-0.458602,-0.449951,0.000049,0,14.784581,14.784581,0,0,0,0
phase2_smoke_r01_s0001,2.496,-0.458601,-0.449950,0.000050,0,14.784580,14.784580,0,0,0,0
phase2_smoke_r01_s0001,2.528,-0.458601,-0.449950,0.000050,0,14.784579,14.784579,0,0,0,0
phase2_smoke_r01_s0001,2.560,-0.458601,-0.449951,0.000049,0,14.784580,14.784580,0,0,0,0
phase2_smoke_r01_s0001,2.592,-0.458600,-0.449952,0.000048,0,14.784580,14.784580,0,0,0,0
phase2_smoke_r01_s0001,2.624,-0.458600,-0.449955,0.000045,0,14.784582,14.784582,0,0,0,0
phase2_smoke_r01_s0001,2.656,-0.458599,-0.449958,0.000042,0,14.784584,14.784584,0,0,0,0
phase2_smoke_r01_s0001,2.688,-0.458599,-0.449960,0.000040,0,14.784585,14.784585,0,0,0,0
phase2_smoke_r01_s0001,2.720,-0.458599,-0.449963,0.000037,0,14.784587,14.784587,0,0,0,0
phase2_smoke_r01_s0001,2.752,-0.458599,-0.449965,0.000035,0,14.784589,14.784589,0,0,0,0
phase2_smoke_r01_s0001,2.784,-0.458599,-0.449967,0.000033,0,14.784590,14.784590,0,0,0,0
phase2_smoke_r01_s0001,2.816,-0.458599,-0.449969,0.000031,0,14.784591,14.784591,0,0,0,0
phase2_smoke_r01_s0001,2.848,-0.458599,-0.449970,0.000030,0,14.784593,14.784593,0,0,0,0
phase2_smoke_r01_s0001,2.880,-0.458600,-0.449971,0.000029,0,14.784593,14.784593,0,0,0,0
phase2_smoke_r01_s0001,2.912,-0.458600,-0.449971,0.000029,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,2.944,-0.458600,-0.449972,0.000028,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,2.976,-0.458601,-0.449971,0.000029,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.008,-0.458601,-0.449971,0.000029,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.040,-0.458601,-0.449971,0.000029,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.072,-0.458601,-0.449970,0.000030,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.104,-0.458601,-0.449970,0.000030,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.136,-0.458601,-0.449970,0.000030,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.168,-0.458601,-0.449970,0.000030,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.200,-0.458601,-0.449970,0.000030,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.232,-0.458601,-0.449971,0.000029,0,14.784594,14.784594,0,0,0,0
phase2_smoke_r01_s0001,3.264,-0.458601,-0.449972,0.000028,0,14.784595,14.784595,0,0,0,0
phase2_smoke_r01_s0001,3.296,-0.458601,-0.449973,0.000027,0,14.784596,14.784596,0,0,0,0
phase2_smoke_r01_s0001,3.328,-0.458601,-0.449975,0.000025,0,14.784597,14.784597,0,0,0,0
phase2_smoke_r01_s0001,3.360,-0.458601,-0.449976,0.000024,0,14.784598,14.784598,0,0,0,0
phase2_smoke_r01_s0001,3.392,-0.458601,-0.449978,0.000022,0,14.784599,14.784599,0,0,0,0
phase2_smoke_r01_s0001,3.424,-0.458601,-0.449979,0.000021,0,14.784600,14.784600,0,0,0,0
phase2_smoke_r01_s0001,3.456,-0.458601,-0.449981,0.000019,0,14.784601,14.784601,0,0,0,0
phase2_smoke_r01_s0001,3.488,-0.458601,-0.449982,0.000018,0,14.784602,14.784602,0,0,0,0
phase2_smoke_r01_s0001,3.520,-0.458602,-0.449983,0.000017,0,14.784603,14.784603,0,0,0,0
phase2_smoke_r01_s0001,3.552,-0.458602,-0.449983,0.000017,0,14.784604,14.784604,0,0,0,0
phase2_smoke_r01_s0001,3.584,-0.458603,-0.449983,0.000017,0,14.784604,14.784604,0,0,0,0
phase2_smoke_r01_s0001,3.616,-0.458603,-0.449982,0.000018,0,14.784604,14.784604,0,0,0,0
