run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_static_clear_r01_s0016,0.032,-0.460000,-0.450000,0.000000,0,0.580000,14.785604,0,0,0,0
phase2_static_clear_r01_s0016,0.064,-0.457057,-0.450000,0.000000,0,0.577057,14.783523,0,0,0,0
phase2_static_clear_r01_s0016,0.096,-0.454116,-0.450002,0.000002,0,0.574116,14.781444,0,0,0,0
phase2_static_clear_r01_s0016,0.128,-0.451172,-0.450007,0.000007,0,0.571172,14.779365,0,0,0,0
phase2_static_clear_r01_s0016,0.160,-0.448228,-0.450011,0.000011,0,0.568228,14.777286,0,0,0,0
phase2_static_clear_r01_s0016,0.192,-0.445284,-0.450015,0.000015,0,0.565284,14.775208,0,0,0,0
phase2_static_clear_r01_s0016,0.224,-0.442340,-0.450019,0.000019,0,0.562340,14.773130,0,0,0,0
phase2_static_clear_r01_s0016,0.256,-0.439396,-0.450022,0.000022,0,0.559396,14.771051,0,0,0,0
phase2_static_clear_r01_s0016,0.288,-0.436452,-0.450026,0.000026,0,0.556452,14.768974,0,0,0,0
phase2_static_clear_r01_s0016,0.320,-0.433508,-0.450030,0.000030,0,0.553508,14.766896,0,0,0,0
phase2_static_clear_r01_s0016,0.352,-0.430564,-0.450034,0.000034,0,0.550564,14.764819,0,0,0,0
phase2_static_clear_r01_s0016,0.384,-0.427620,-0.450038,0.000038,0,0.547620,14.762742,0,0,0,0
phase2_static_clear_r01_s0016,0.416,-0.424676,-0.450036,0.000036,0,0.544676,14.760662,0,0,0,0
phase2_static_clear_r01_s0016,0.448,-0.421732,-0.450037,0.000037,0,0.541732,14.758583,0,0,0,0
phase2_static_clear_r01_s0016,0.480,-0.418788,-0.450037,0.000037,0,0.538788,14.756504,0,0,0,0
phase2_static_clear_r01_s0016,0.512,-0.415844,-0.450037,0.000037,0,0.535844,14.754426,0,0,0,0
phase2_static_clear_r01_s0016,0.544,-0.412900,-0.450037,0.000037,0,0.532900,14.752348,0,0,0,0
phase2_static_clear_r01_s0016,0.576,-0.409956,-0.450037,0.000037,0,0.529956,14.750270,0,0,0,0
phase2_static_clear_r01_s0016,0.608,-0.407012,-0.450038,0.000038,0,0.527012,14.748193,0,0,0,0
phase2_static_clear_r01_s0016,0.640,-0.404068,-0.450038,0.000038,0,0.524068,14.746116,0,0,0,0
phase2_static_clear_r01_s0016,0.672,-0.401124,-0.450038,0.000038,0,0.521124,14.744039,0,0,0,0
phase2_static_clear_r01_s0016,0.704,-0.398180,-0.450039,0.000039,0,0.518180,14.741963,0,0,0,0
phase2_static_clear_r01_s0016,0.736,-0.395236,-0.450039,0.000039,0,0.515236,14.739887,0,0,0,0
phase2_static_clear_r01_s0016,0.768,-0.392292,-0.450040,0.000040,0,0.512292,14.737811,0,0,0,0
phase2_static_clear_r01_s0016,0.800,-0.389348,-0.450040,0.000040,0,0.509348,14.735735,0,0,0,0
