run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_ultrawide_r01_s0013,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_ultrawide_r01_s0013,0.064,-0.457073,-0.449997,0.000003,0,14.783532,14.783532,0,0,0,0
phase2_ultrawide_r01_s0013,0.096,-0.454142,-0.449970,0.000030,0,14.781440,14.781440,0,0,0,0
phase2_ultrawide_r01_s0013,0.128,-0.451198,-0.449929,0.000071,0,14.779329,14.779329,0,0,0,0
phase2_ultrawide_r01_s0013,0.160,-0.448254,-0.449876,0.000124,0,14.777210,14.777210,0,0,0,0
phase2_ultrawide_r01_s0013,0.192,-0.445311,-0.449806,0.000194,0,14.775079,14.775079,0,0,0,0
phase2_ultrawide_r01_s0013,0.224,-0.442368,-0.449723,0.000277,0,14.772940,14.772940,0,0,0,0
phase2_ultrawide_r01_s0013,0.256,-0.439425,-0.449630,0.000370,0,14.770794,14.770794,0,0,0,0
phase2_ultrawide_r01_s0013,0.288,-0.436483,-0.449525,0.000475,0,14.768640,14.768640,0,0,0,0
phase2_ultrawide_r01_s0013,0.320,-0.433541,-0.449410,0.000590,0,14.766481,14.766481,0,0,0,0
phase2_ultrawide_r01_s0013,0.352,-0.430600,-0.449286,0.000714,0,14.764315,14.764315,0,0,0,0
phase2_ultrawide_r01_s0013,0.384,-0.427659,-0.449151,0.000849,0,14.762142,14.762142,0,0,0,0
phase2_ultrawide_r01_s0013,0.416,-0.424718,-0.449010,0.000990,0,14.759965,14.759965,0,0,0,0
phase2_ultrawide_r01_s0013,0.448,-0.421778,-0.448859,0.001141,0,14.757781,14.757781,0,0,0,0
phase2_ultrawide_r01_s0013,0.480,-0.418839,-0.448698,0.001302,0,14.755592,14.755592,0,0,0,0
phase2_ultrawide_r01_s0013,0.512,-0.415900,-0.448529,0.001471,0,14.753397,14.753397,0,0,0,0
phase2_ultrawide_r01_s0013,0.544,-0.412961,-0.448352,0.001648,0,14.751197,14.751197,0,0,0,0
phase2_ultrawide_r01_s0013,0.576,-0.410023,-0.448168,0.001832,0,14.748993,14.748993,0,0,0,0
phase2_ultrawide_r01_s0013,0.608,-0.407085,-0.447976,0.002024,0,14.746783,14.746783,0,0,0,0
phase2_ultrawide_r01_s0013,0.640,-0.404148,-0.447778,0.002222,0,14.744571,14.744571,0,0,0,0
phase2_ultrawide_r01_s0013,0.672,-0.401211,-0.447574,0.002426,0,14.742354,14.742354,0,0,0,0
phase2_ultrawide_r01_s0013,0.704,-0.398275,-0.447363,0.002637,0,14.740133,14.740133,0,0,0,0
phase2_ultrawide_r01_s0013,0.736,-0.395339,-0.447144,0.002856,0,14.737906,14.737906,0,0,0,0
phase2_ultrawide_r01_s0013,0.768,-0.392403,-0.446918,0.003082,0,14.735676,14.735676,0,0,0,0
phase2_ultrawide_r01_s0013,0.800,-0.389468,-0.446686,0.003314,0,14.733442,14.733442,0,0,0,0
phase2_ultrawide_r01_s0013,0.832,-0.386534,-0.446448,0.003552,0,14.731204,14.731204,0,0,0,0
phase2_ultrawide_r01_s0013,0.864,-0.383600,-0.446203,0.003797,0,14.728962,14.728962,0,0,0,0
phase2_ultrawide_r01_s0013,0.896,-0.380667,-0.445951,0.004049,0,14.726715,14.726715,0,0,0,0
phase2_ultrawide_r01_s0013,0.928,-0.377734,-0.445693,0.004307,0,14.724465,14.724465,0,0,0,0
phase2_ultrawide_r01_s0013,0.960,-0.374802,-0.445428,0.004572,0,14.722211,14.722211,0,0,0,0
phase2_ultrawide_r01_s0013,0.992,-0.371871,-0.445156,0.004844,0,14.719952,14.719952,0,0,0,0
phase2_ultrawide_r01_s0013,1.024,-0.368940,-0.444883,0.005117,0,14.717693,14.717693,0,0,0,0
phase2_ultrawide_r01_s0013,1.056,-0.366009,-0.444602,0.005398,0,14.715429,14.715429,0,0,0,0
phase2_ultrawide_r01_s0013,1.088,-0.363079,-0.444316,0.005684,0,14.713163,14.713163,0,0,0,0
phase2_ultrawide_r01_s0013,1.120,-0.360149,-0.444026,0.005974,0,14.710893,14.710893,0,0,0,0
phase2_ultrawide_r01_s0013,1.152,-0.357220,-0.443733,0.006267,0,14.708622,14.708622,0,0,0,0
phase2_ultrawide_r01_s0013,1.184,-0.354291,-0.443435,0.006565,0,14.706348,14.706348,0,0,0,0
phase2_ultrawide_r01_s0013,1.216,-0.351363,-0.443131,0.006869,0,14.704071,14.704071,0,0,0,0
phase2_ultrawide_r01_s0013,1.248,-0.348435,-0.442823,0.007177,0,14.701791,14.701791,0,0,0,0
phase2_ultrawide_r01_s0013,1.280,-0.345507,-0.442512,0.007488,0,14.699510,14.699510,0,0,0,0
phase2_ultrawide_r01_s0013,1.312,-0.342580,-0.442196,0.007804,0,14.697225,14.697225,0,0,0,0
phase2_ultrawide_r01_s0013,1.344,-0.339654,-0.441874,0.008126,0,14.694937,14.694937,0,0,0,0
phase2_ultrawide_r01_s0013,1.376,-0.336727,-0.441555,0.008445,0,14.692651,14.692651,0,0,0,0
phase2_ultrawide_r01_s0013,1.408,-0.333801,-0.441231,0.008769,0,14.690363,14.690363,0,0,0,0
phase2_ultrawide_r01_s0013,1.440,-0.330876,-0.440902,0.009098,0,14.688071,14.688071,0,0,0,0
phase2_ultrawide_r01_s0013,1.472,-0.327951,-0.440570,0.009430,0,14.685778,14.685778,0,0,0,0
phase2_ultrawide_r01_s0013,1.504,-0.325026,-0.440235,0.009765,0,14.683483,14.683483,0,0,0,0
phase2_ultrawide_r01_s0013,1.536,-0.322101,-0.439896,0.010104,0,14.681185,14.681185,0,0,0,0
phase2_ultrawide_r01_s0013,1.568,-0.319177,-0.439552,0.010448,0,14.678885,14.678885,0,0,0,0
phase2_ultrawide_r01_s0013,1.600,-0.316254,-0.439205,0.010795,0,14.676583,14.676583,0,0,0,0
phase2_ultrawide_r01_s0013,1.632,-0.313331,-0.438855,0.011145,0,14.674280,14.674280,0,0,0,0
phase2_ultrawide_r01_s0013,1.664,-0.310408,-0.438506,0.011494,0,14.671977,14.671977,0,0,0,0
phase2_ultrawide_r01_s0013,1.696,-0.307485,-0.438153,0.011847,0,14.669672,14.669672,0,0,0,0
phase2_ultrawide_r01_s0013,1.728,-0.304562,-0.437801,0.012199,0,14.667368,14.667368,0,0,0,0
phase2_ultrawide_r01_s0013,1.760,-0.301640,-0.437445,0.012555,0,14.665062,14.665062,0,0,0,0
phase2_ultrawide_r01_s0013,1.792,-0.298718,-0.437085,0.012915,0,14.662753,14.662753,0,0,0,0
phase2_ultrawide_r01_s0013,1.824,-0.295796,-0.436727,0.013273,0,14.660446,14.660446,0,0,0,0
phase2_ultrawide_r01_s0013,1.856,-0.292874,-0.436361,0.013639,0,14.658134,14.658134,0,0,0,0
phase2_ultrawide_r01_s0013,1.888,-0.289953,-0.435998,0.014002,0,14.655824,14.655824,0,0,0,0
phase2_ultrawide_r01_s0013,1.920,-0.287031,-0.435635,0.014365,0,14.653514,14.653514,0,0,0,0
phase2_ultrawide_r01_s0013,1.952,-0.284110,-0.435272,0.014728,0,14.651205,14.651205,0,0,0,0
phase2_ultrawide_r01_s0013,1.984,-0.281188,-0.434909,0.015091,0,14.648896,14.648896,0,0,0,0
phase2_ultrawide_r01_s0013,2.016,-0.278267,-0.434541,0.015459,0,14.646584,14.646584,0,0,0,0
phase2_ultrawide_r01_s0013,2.048,-0.275347,-0.434167,0.015833,0,14.644269,14.644269,0,0,0,0
phase2_ultrawide_r01_s0013,2.080,-0.272427,-0.433796,0.016204,0,14.641955,14.641955,0,0,0,0
phase2_ultrawide_r01_s0013,2.112,-0.269506,-0.433424,0.016576,0,14.639641,14.639641,0,0,0,0
phase2_ultrawide_r01_s0013,2.144,-0.266586,-0.433053,0.016947,0,14.637328,14.637328,0,0,0,0
phase2_ultrawide_r01_s0013,2.176,-0.263665,-0.432682,0.017318,0,14.635015,14.635015,0,0,0,0
phase2_ultrawide_r01_s0013,2.208,-0.260745,-0.432310,0.017690,0,14.632703,14.632703,0,0,0,0
phase2_ultrawide_r01_s0013,2.240,-0.257824,-0.431939,0.018061,0,14.630390,14.630390,0,0,0,0
phase2_ultrawide_r01_s0013,2.272,-0.254904,-0.431563,0.018437,0,14.628075,14.628075,0,0,0,0
phase2_ultrawide_r01_s0013,2.304,-0.251985,-0.431184,0.018816,0,14.625758,14.625758,0,0,0,0
phase2_ultrawide_r01_s0013,2.336,-0.249066,-0.430801,0.019199,0,14.623439,14.623439,0,0,0,0
phase2_ultrawide_r01_s0013,2.368,-0.246147,-0.430413,0.019587,0,14.621117,14.621117,0,0,0,0
phase2_ultrawide_r01_s0013,2.400,-0.243229,-0.430027,0.019973,0,14.618796,14.618796,0,0,0,0
phase2_ultrawide_r01_s0013,2.432,-0.240310,-0.429641,0.020359,0,14.616476,14.616476,0,0,0,0
phase2_ultrawide_r01_s0013,2.464,-0.237392,-0.429255,0.020745,0,14.614156,14.614156,0,0,0,0
phase2_ultrawide_r01_s0013,2.496,-0.234473,-0.428870,0.021130,0,14.611836,14.611836,0,0,0,0
phase2_ultrawide_r01_s0013,2.528,-0.231554,-0.428484,0.021516,0,14.609517,14.609517,0,0,0,0
phase2_ultrawide_r01_s0013,2.560,-0.228636,-0.428099,0.021901,0,14.607198,14.607198,0,0,0,0
phase2_ultrawide_r01_s0013,2.592,-0.225717,-0.427713,0.022287,0,14.604879,14.604879,0,0,0,0
phase2_ultrawide_r01_s0013,2.624,-0.222799,-0.427323,0.022677,0,14.602557,14.602557,0,0,0,0
phase2_ultrawide_r01_s0013,2.656,-0.219882,-0.426929,0.023071,0,14.600234,14.600234,0,0,0,0
phase2_ultrawide_r01_s0013,2.688,-0.216964,-0.426532,0.023468,0,14.597908,14.597908,0,0,0,0
phase2_ultrawide_r01_s0013,2.720,-0.214048,-0.426131,0.023869,0,14.595581,14.595581,0,0,0,0
phase2_ultrawide_r01_s0013,2.752,-0.211132,-0.425727,0.024273,0,14.593252,14.593252,0,0,0,0
phase2_ultrawide_r01_s0013,2.784,-0.208216,-0.425319,0.024681,0,14.590920,14.590920,0,0,0,0
phase2_ultrawide_r01_s0013,2.816,-0.205301,-0.424907,0.025093,0,14.588586,14.588586,0,0,0,0
phase2_ultrawide_r01_s0013,2.848,-0.202386,-0.424496,0.025504,0,14.586254,14.586254,0,0,0,0
phase2_ultrawide_r01_s0013,2.880,-0.199472,-0.424079,0.025921,0,14.583917,14.583917,0,0,0,0
phase2_ultrawide_r01_s0013,2.912,-0.196558,-0.423658,0.026342,0,14.581579,14.581579,0,0,0,0
phase2_ultrawide_r01_s0013,2.944,-0.193645,-0.423232,0.026768,0,14.579237,14.579237,0,0,0,0
phase2_ultrawide_r01_s0013,2.976,-0.190732,-0.422801,0.027199,0,14.576893,14.576893,0,0,0,0
phase2_ultrawide_r01_s0013,3.008,-0.187821,-0.422366,0.027634,0,14.574547,14.574547,0,0,0,0
phase2_ultrawide_r01_s0013,3.040,-0.184910,-0.421923,0.028077,0,14.572196,14.572196,0,0,0,0
