run_id,time_s,robot_x,robot_y,lane_error_m,checkpoint_count,static_clearance_m,moving_clearance_m,collision_count,moving_started,moving_cleared,finished
phase2_wide_pilot_r01_s0003,0.032,-0.460000,-0.450000,0.000000,0,14.785604,14.785604,0,0,0,0
phase2_wide_pilot_r01_s0003,0.064,-0.458209,-0.450000,0.000000,0,14.784337,14.784337,0,0,0,0
phase2_wide_pilot_r01_s0003,0.096,-0.456417,-0.450000,0.000000,0,14.783070,14.783070,0,0,0,0
phase2_wide_pilot_r01_s0003,0.128,-0.454624,-0.450001,0.000001,0,14.781803,14.781803,0,0,0,0
phase2_wide_pilot_r01_s0003,0.160,-0.452832,-0.450002,0.000002,0,14.780536,14.780536,0,0,0,0
phase2_wide_pilot_r01_s0003,0.192,-0.451040,-0.450002,0.000002,0,14.779269,14.779269,0,0,0,0
phase2_wide_pilot_r01_s0003,0.224,-0.449249,-0.450003,0.000003,0,14.778003,14.778003,0,0,0,0
phase2_wide_pilot_r01_s0003,0.256,-0.447457,-0.450004,0.000004,0,14.776736,14.776736,0,0,0,0
phase2_wide_pilot_r01_s0003,0.288,-0.445665,-0.450005,0.000005,0,14.775470,14.775470,0,0,0,0
phase2_wide_pilot_r01_s0003,0.320,-0.443873,-0.450007,0.000007,0,14.774204,14.774204,0,0,0,0
phase2_wide_pilot_r01_s0003,0.352,-0.442081,-0.450008,0.000008,0,14.772939,14.772939,0,0,0,0
phase2_wide_pilot_r01_s0003,0.384,-0.440289,-0.450010,0.000010,0,14.771673,14.771673,0,0,0,0
phase2_wide_pilot_r01_s0003,0.416,-0.438497,-0.450012,0.000012,0,14.770408,14.770408,0,0,0,0
phase2_wide_pilot_r01_s0003,0.448,-0.436705,-0.450014,0.000014,0,14.769143,14.769143,0,0,0,0
phase2_wide_pilot_r01_s0003,0.480,-0.434913,-0.450016,0.000016,0,14.767878,14.767878,0,0,0,0
phase2_wide_pilot_r01_s0003,0.512,-0.433121,-0.450018,0.000018,0,14.766614,14.766614,0,0,0,0
phase2_wide_pilot_r01_s0003,0.544,-0.431329,-0.450020,0.000020,0,14.765349,14.765349,0,0,0,0
phase2_wide_pilot_r01_s0003,0.576,-0.429537,-0.450023,0.000023,0,14.764085,14.764085,0,0,0,0
phase2_wide_pilot_r01_s0003,0.608,-0.427745,-0.450026,0.000026,0,14.762821,14.762821,0,0,0,0
phase2_wide_pilot_r01_s0003,0.640,-0.425953,-0.450028,0.000028,0,14.761557,14.761557,0,0,0,0
phase2_wide_pilot_r01_s0003,0.672,-0.424161,-0.450031,0.000031,0,14.760294,14.760294,0,0,0,0
phase2_wide_pilot_r01_s0003,0.704,-0.422369,-0.450034,0.000034,0,14.759031,14.759031,0,0,0,0
phase2_wide_pilot_r01_s0003,0.736,-0.420577,-0.450038,0.000038,0,14.757768,14.757768,0,0,0,0
phase2_wide_pilot_r01_s0003,0.768,-0.418785,-0.450041,0.000041,0,14.756505,14.756505,0,0,0,0
phase2_wide_pilot_r01_s0003,0.800,-0.416993,-0.450045,0.000045,0,14.755242,14.755242,0,0,0,0
phase2_wide_pilot_r01_s0003,0.832,-0.415201,-0.450048,0.000048,0,14.753980,14.753980,0,0,0,0
phase2_wide_pilot_r01_s0003,0.864,-0.413409,-0.450052,0.000052,0,14.752717,14.752717,0,0,0,0
phase2_wide_pilot_r01_s0003,0.896,-0.411617,-0.450056,0.000056,0,14.751455,14.751455,0,0,0,0
phase2_wide_pilot_r01_s0003,0.928,-0.409825,-0.450060,0.000060,0,14.750193,14.750193,0,0,0,0
phase2_wide_pilot_r01_s0003,0.960,-0.408033,-0.450065,0.000065,0,14.748932,14.748932,0,0,0,0
phase2_wide_pilot_r01_s0003,0.992,-0.406241,-0.450069,0.000069,0,14.747670,14.747670,0,0,0,0
phase2_wide_pilot_r01_s0003,1.024,-0.404449,-0.450074,0.000074,0,14.746409,14.746409,0,0,0,0
phase2_wide_pilot_r01_s0003,1.056,-0.402657,-0.450078,0.000078,0,14.745148,14.745148,0,0,0,0
phase2_wide_pilot_r01_s0003,1.088,-0.400865,-0.450083,0.000083,0,14.743888,14.743888,0,0,0,0
phase2_wide_pilot_r01_s0003,1.120,-0.399073,-0.450088,0.000088,0,14.742627,14.742627,0,0,0,0
phase2_wide_pilot_r01_s0003,1.152,-0.397281,-0.450093,0.000093,0,14.741367,14.741367,0,0,0,0
phase2_wide_pilot_r01_s0003,1.184,-0.395489,-0.450099,0.000099,0,14.740107,14.740107,0,0,0,0
phase2_wide_pilot_r01_s0003,1.216,-0.393697,-0.450104,0.000104,0,14.738847,14.738847,0,0,0,0
phase2_wide_pilot_r01_s0003,1.248,-0.391905,-0.450110,0.000110,0,14.737587,14.737587,0,0,0,0
phase2_wide_pilot_r01_s0003,1.280,-0.390113,-0.450115,0.000115,0,14.736328,14.736328,0,0,0,0
phase2_wide_pilot_r01_s0003,1.312,-0.388321,-0.450121,0.000121,0,14.735068,14.735068,0,0,0,0
phase2_wide_pilot_r01_s0003,1.344,-0.386529,-0.450127,0.000127,0,14.733809,14.733809,0,0,0,0
