run_id,scenario_id,repetition,seed,controller_mode,configuration_id,route,lighting,static_position,moving_speed_mps,duration_s,completed,lane_following_success,within_lane_fraction,mean_lane_error_m,max_lane_error_m,collision_count,min_static_clearance_m,min_moving_clearance_m,checkpoints_passed,failure_reason,obstacle_layout,static_obstacle_count,moving_obstacle_count
phase2_smoke_r01_s0001,phase2_smoke,1,1,vision,,,nominal,center,0.150,8.000,0,0,1.000000,0.000013,0.000050,0,14.784501,14.784501,0,time_limit,,,
phase2_camera_r01_s0001,phase2_camera,1,1,vision,,,nominal,center,0.150,5.024,0,0,1.000000,0.000042,0.000074,0,14.781611,14.781611,0,time_limit,,,
phase2_camera_tilt_r01_s0001,phase2_camera_tilt,1,1,vision,,,nominal,center,0.150,5.024,0,0,1.000000,0.000042,0.000074,0,14.781611,14.781611,0,time_limit,,,
phase2_camera_tuned_r01_s0001,phase2_camera_tuned,1,1,vision,,,nominal,center,0.150,5.024,0,0,1.000000,0.000042,0.000074,0,14.781611,14.781611,0,time_limit,,,
phase2_lane_pilot_r01_s0001,phase2_lane_pilot,1,1,vision,,,nominal,center,0.150,30.016,0,0,0.828358,0.097334,0.269969,0,13.124169,13.124169,1,time_limit,,,
phase2_lane_full_r01_s0002,phase2_lane_full,1,2,vision,,,nominal,center,0.150,100.000,0,0,0.197120,0.250201,0.308139,0,13.330143,13.330143,0,time_limit,,,
phase2_wide_camera_r01_s0001,phase2_wide_camera,1,1,vision,,,nominal,center,0.150,1.024,0,0,1.000000,0.000025,0.000074,0,14.746409,14.746409,0,time_limit,,,
phase2_wide_pilot_r01_s0003,phase2_wide_pilot,1,3,vision,,,nominal,center,0.150,40.000,0,0,0.687200,0.155907,0.517316,0,13.640171,13.640171,0,time_limit,,,
phase2_curve_frame_r01_s0004,phase2_curve_frame,1,4,vision,,,nominal,center,0.150,25.024,0,0,1.000000,0.017186,0.081961,0,13.867521,13.867521,0,time_limit,,,
phase2_curve_tuned_r01_s0005,phase2_curve_tuned,1,5,vision,,,nominal,center,0.150,60.000,0,0,0.397867,0.355555,0.610761,0,13.988386,13.988386,0,time_limit,,,
phase2_deadband_r01_s0006,phase2_deadband,1,6,vision,,,nominal,center,0.150,60.000,0,0,0.481600,0.183943,0.463849,0,13.122463,13.122463,0,time_limit,,,
phase2_curve_view_r01_s0007,phase2_curve_view,1,7,vision,,,nominal,center,0.150,27.008,0,0,1.000000,0.006322,0.091197,0,13.758389,13.758389,0,time_limit,,,
